,SPY 3/20/15 P205,,SPY 4/17/15 P201,,SPY 5/15/15 P211,,SPY 6/19/15 P205,,SPY 7/17/15 P210,,SPY 8/21/15 P211,,SPY 9/18/15 P207,,SPY 10/16/15 P209,,SPY 11/20/15 P191,,SPY 12/18/15 P192,,SPY 1/15/16 P210,,SPY 2/19/16 P210,,SPY 3/18/16 P201,,SPY 4/15/16 P193,,SPY 5/20/16 P198,,SPY 6/17/16 P206,,SPY 7/15/16 P207,,SPY 8/19/16 P210,,SPY 9/16/16 P209,,SPY 10/21/16 P216,,SPY 11/18/16 P217,,SPY 12/16/16 P215,,SPY 1/20/17 P211,,SPY 2/17/17 P219,,SPY 3/17/17 P225,,SPY 4/21/17 P227,,SPY 5/19/17 P239,,SPY 6/16/17 P235,,SPY 7/21/17 P238,,SPY 8/18/17 P243,,SPY 9/15/17 P242,,SPY 10/20/17 P247,,SPY 11/17/17 P247,,SPY 12/15/17 P252,,SPY 1/19/18 P257,,SPY 2/16/18 P264,,SPY 3/16/18 P268,,SPY 4/20/18 P281,,SPY 5/18/18 P267,,SPY 6/15/18 P257,,SPY 7/20/18 P264,,SPY 8/17/18 P273,,SPY 9/21/18 P271,,SPY 10/19/18 P280,,SPY 11/16/18 P289,,SPY 12/21/18 P291,,SPY 1/18/19 P273,,SPY 2/15/19 P279,,SPY 3/15/19 P250,,SPY 4/18/19 P270,,SPY 5/17/19 P280,,SPY 6/21/19 P285,,SPY 7/19/19 P291,,SPY 8/16/19 P274,,SPY 9/20/19 P295,,SPY 10/18/19 P294,,SPY 11/15/19 P290,,SPY 12/20/19 P293,,SPY 1/17/20 P306,,SPY 2/21/20 P311,,SPY 3/20/20 P324,,SPY 4/17/20 P324,,SPY 5/15/20 P309,,SPY 6/19/20 P246,,SPY 7/17/20 P282,,SPY 8/21/20 P305,,SPY 9/18/20 P310,,SPY 10/16/20 P328,
0,1/2/2015,5.76,2/2/2015,6.13,3/2/2015,4.69,4/1/2015,5.64,5/1/2015,5.03,6/1/2015,5.28,7/1/2015,5.73,8/3/2015,4.88,9/1/2015,8.63,#N/A Invalid Security,,11/2/2015,5.43,12/1/2015,5.71,1/4/2016,7.11,2/1/2016,6.44,3/1/2016,6.61,4/1/2016,5.03,5/2/2016,5.27,6/1/2016,5.45,7/1/2016,5.29,8/1/2016,4.97,9/1/2016,5.44,10/3/2016,5.25,11/1/2016,6.31,12/1/2016,5.38,1/3/2017,5.12,2/1/2017,4.67,3/1/2017,5.35,4/3/2017,4.57,5/1/2017,4.4,6/1/2017,4.24,7/3/2017,4.44,8/1/2017,4.28,9/1/2017,4.52,10/2/2017,4.2,11/1/2017,4.33,12/1/2017,4.62,1/2/2018,4.1,2/1/2018,5.7,3/1/2018,7.76,4/2/2018,8.7,5/1/2018,6.46,6/1/2018,5.57,7/2/2018,6.37,8/1/2018,5.52,9/4/2018,5.48,10/1/2018,5.62,11/1/2018,8.3,12/3/2018,7.33,1/2/2019,8.87,2/1/2019,7.12,3/1/2019,5.9,4/1/2019,6.37,5/1/2019,6.57,6/3/2019,8.01,7/1/2019,6.7,8/1/2019,7.87,9/3/2019,8.9,10/1/2019,9.18,11/1/2019,6.94,12/2/2019,8,1/2/2020,6.96,2/3/2020,8.88,3/2/2020,14.17,4/1/2020,21.41,5/1/2020,16.86,6/1/2020,14.34,7/1/2020,14.69,8/3/2020,13.11
,1/5/2015,7.49,2/3/2015,4.68,3/3/2015,5.14,4/2/2015,5.33,5/4/2015,4.65,6/2/2015,5.35,7/2/2015,5.95,8/4/2015,5.22,9/2/2015,7.14,,,11/3/2015,5.15,12/2/2015,6.67,1/5/2016,6.36,2/2/2016,8.45,3/2/2016,6.1,4/4/2016,5.52,5/3/2016,6.24,6/2/2016,5.06,7/5/2016,5.99,8/2/2016,5.79,9/2/2016,4.74,10/4/2016,5.78,11/2/2016,6.94,12/2/2016,5.27,1/4/2017,4.31,2/2/2017,4.62,3/2/2017,5.86,4/4/2017,4.39,5/2/2017,4.4,6/2/2017,3.84,7/5/2017,4.08,8/2/2017,4.25,9/5/2017,5.43,10/3/2017,3.88,11/2/2017,4.34,12/4/2017,4.8,1/3/2018,3.35,2/2/2018,9.38,3/2/2018,6.9,4/3/2018,7.15,5/2/2018,7.54,6/4/2018,4.82,7/3/2018,6.77,8/2/2018,4.65,9/5/2018,5.99,10/2/2018,5.64,11/2/2018,9.1,12/4/2018,13,1/3/2019,12.29,2/4/2019,6.06,3/4/2019,6.48,4/2/2019,6.3,5/2/2019,6.6,6/4/2019,5.52,7/2/2019,5.87,8/2/2019,8.8,9/4/2019,7.1,10/2/2019,12.17,11/4/2019,6.3,12/3/2019,9.25,1/3/2020,8.27,2/4/2020,6.07,3/3/2020,18.4,4/2/2020,17.54,5/4/2020,16.13,6/2/2020,12.9,7/2/2020,13.22,8/4/2020,12.77
,1/6/2015,8.95,2/4/2015,5.13,3/4/2015,5.46,4/6/2015,4.68,5/5/2015,6,6/3/2015,4.89,7/6/2015,6.18,8/5/2015,4.64,9/3/2015,6.35,,,11/4/2015,5.63,12/3/2015,8.62,1/6/2016,7.77,2/3/2016,8.41,3/3/2016,5.75,4/5/2016,6.77,5/4/2016,6.79,6/3/2016,5.25,7/6/2016,5.3,8/3/2016,5.39,9/6/2016,4.21,10/5/2016,5.22,11/3/2016,7.77,12/5/2016,4.46,1/5/2017,4.31,2/3/2017,3.92,3/3/2017,5.45,4/5/2017,5.03,5/3/2017,4.48,6/5/2017,3.96,7/6/2017,5.14,8/3/2017,4.51,9/6/2017,4.9,10/4/2017,3.7,11/3/2017,3.98,12/5/2017,5.03,1/4/2018,3.01,2/5/2018,17.42,3/5/2018,5.55,4/4/2018,5.78,5/3/2018,7.86,6/5/2018,4.59,7/5/2018,5.7,8/3/2018,4.12,9/6/2018,6.49,10/3/2018,5.59,11/5/2018,8.22,12/6/2018,13.17,1/4/2019,7.75,2/5/2019,5.76,3/5/2019,6.65,4/3/2019,5.87,5/3/2019,5.17,6/5/2019,4.6,7/3/2019,5.04,8/5/2019,14.33,9/5/2019,5.63,10/3/2019,10.5,11/5/2019,6.57,12/4/2019,8.13,1/6/2020,7.62,2/5/2020,4.92,3/4/2020,12.3,4/3/2020,17.32,5/5/2020,14.23,6/3/2020,11.24,7/6/2020,11.47,8/5/2020,11.15
,1/7/2015,7.42,2/5/2015,4.18,3/5/2015,5.32,4/7/2015,4.78,5/6/2015,6.48,6/4/2015,6.12,7/7/2015,5.55,8/6/2015,5.48,9/4/2015,7.56,,,11/5/2015,5.55,12/4/2015,6.12,1/7/2016,11,2/4/2016,7.79,3/4/2016,5.57,4/6/2016,5.4,5/5/2016,6.9,6/6/2016,4.68,7/7/2016,5.25,8/4/2016,5.1,9/7/2016,4.21,10/6/2016,4.98,11/4/2016,7.76,12/6/2016,4.06,1/6/2017,3.94,2/6/2017,3.97,3/6/2017,5.51,4/6/2017,4.49,5/4/2017,4.37,6/6/2017,4.2,7/7/2017,4.33,8/4/2017,4.33,9/7/2017,4.82,10/5/2017,3.13,11/6/2017,3.74,12/6/2017,4.91,1/5/2018,2.56,2/6/2018,14.6,3/6/2018,5.22,4/5/2018,5.01,5/4/2018,5.83,6/6/2018,3.65,7/6/2018,4.7,8/6/2018,3.62,9/7/2018,6.7,10/4/2018,6.77,11/6/2018,7.2,12/7/2018,18.44,1/7/2019,6.76,2/6/2019,5.59,3/6/2019,7.58,4/4/2019,5.63,5/6/2019,6.16,6/6/2019,4.06,7/5/2019,5.37,8/6/2019,11.48,9/6/2019,5.07,10/4/2019,8.25,11/6/2019,6.47,12/5/2019,7.73,1/7/2020,8.1,2/6/2020,4.57,3/5/2020,19.5,4/6/2020,11.72,5/6/2020,15.09,6/4/2020,11.35,7/7/2020,13.16,8/6/2020,10.3
,1/8/2015,5.47,2/6/2015,4.4,3/6/2015,7.2,4/8/2015,4.33,5/7/2015,5.96,6/5/2015,6.05,7/8/2015,7.44,8/7/2015,5.77,9/8/2015,5.71,,,11/6/2015,5.4,12/7/2015,6.55,1/8/2016,12.2,2/5/2016,10.04,3/7/2016,5.38,4/7/2016,6.81,5/6/2016,6.23,6/7/2016,4.61,7/8/2016,3.77,8/5/2016,4.14,9/8/2016,4.37,10/7/2016,5.46,11/7/2016,5,12/7/2016,3.2,1/9/2017,4.16,2/7/2017,4.02,3/7/2017,5.98,4/7/2017,4.66,5/5/2017,3.88,6/7/2017,4.14,7/10/2017,4.06,8/7/2017,3.98,9/8/2017,5.07,10/6/2017,3.28,11/7/2017,3.86,12/7/2017,4.42,1/8/2018,2.41,2/7/2018,12.53,3/7/2018,5.17,4/6/2018,7.1,5/7/2018,5.47,6/7/2018,3.67,7/9/2018,3.48,8/7/2018,3.25,9/10/2018,6.1,10/5/2018,7.85,11/7/2018,4.71,12/10/2018,18.97,1/8/2019,5.81,2/7/2019,6.84,3/7/2019,8.99,4/5/2019,4.97,5/7/2019,10.61,6/7/2019,3.5,7/8/2019,5.9,8/7/2019,11.86,9/9/2019,5.02,10/7/2019,8.75,11/7/2019,6.06,12/6/2019,6.45,1/8/2020,6.8,2/7/2020,5.32,3/6/2020,22.62,4/7/2020,11.25,5/7/2020,13.33,6/5/2020,8.51,7/8/2020,11.72,8/7/2020,10.33
,1/9/2015,6.28,2/9/2015,4.73,3/9/2015,6.26,4/9/2015,3.76,5/8/2015,4.51,6/8/2015,6.8,7/9/2015,7.38,8/10/2015,4.25,9/9/2015,6.5,,,11/9/2015,6.53,12/8/2015,7.54,1/11/2016,11.91,2/8/2016,11.67,3/8/2016,6.23,4/8/2016,6.48,5/9/2016,6.05,6/8/2016,4.33,7/11/2016,3.37,8/8/2016,4.09,9/9/2016,7.79,10/10/2016,4.74,11/8/2016,4.69,12/8/2016,3.14,1/10/2017,4.08,2/8/2017,3.84,3/8/2017,6.1,4/10/2017,4.78,5/8/2017,3.67,6/8/2017,3.97,7/11/2017,4.09,8/8/2017,4.37,9/11/2017,3.67,10/9/2017,3.44,11/8/2017,3.7,12/8/2017,3.64,1/9/2018,2.31,2/8/2018,20.94,3/8/2018,4.55,4/9/2018,6.84,5/8/2018,5.35,6/8/2018,3.51,7/10/2018,3.21,8/8/2018,3.22,9/11/2018,5.41,10/8/2018,7.63,11/8/2018,4.9,12/11/2018,16.5,1/9/2019,5.31,2/8/2019,6.61,3/8/2019,9.29,4/8/2019,4.8,5/8/2019,9.28,6/10/2019,3.07,7/9/2019,5.78,8/8/2019,7.98,9/10/2019,4.85,10/8/2019,11.26,11/8/2019,5.7,12/9/2019,6.74,1/9/2020,5.94,2/10/2020,4.39,3/9/2020,41.37,4/8/2020,9.45,5/8/2020,10.13,6/8/2020,7.69,7/9/2020,12.8,8/10/2020,9.57
,1/12/2015,7.08,2/10/2015,3.82,3/10/2015,8.54,4/10/2015,3.3,5/11/2015,5,6/9/2015,6.5,7/10/2015,5.6,8/11/2015,5.35,9/10/2015,6.08,,,11/10/2015,6.15,12/9/2015,8.7,1/12/2016,10.34,2/9/2016,11.39,3/9/2016,5.95,4/11/2016,6.72,5/10/2016,4.75,6/9/2016,4.6,7/12/2016,2.86,8/9/2016,3.96,9/12/2016,5.52,10/11/2016,6.24,11/9/2016,3.37,12/9/2016,2.61,1/11/2017,3.77,2/9/2017,3.29,3/9/2017,6.05,4/11/2017,4.92,5/9/2017,3.78,6/9/2017,3.96,7/12/2017,3.26,8/9/2017,4.37,9/12/2017,3.27,10/10/2017,3.07,11/9/2017,4.05,12/11/2017,3.08,1/10/2018,2.38,2/9/2018,22,3/9/2018,3.1,4/10/2018,5.12,5/9/2018,4.16,6/11/2018,3.3,7/11/2018,3.85,8/9/2018,3.39,9/12/2018,5.15,10/9/2018,7.95,11/9/2018,5.71,12/12/2018,13.8,1/10/2019,4.71,2/11/2019,6.43,3/11/2019,6.64,4/9/2019,5.62,5/9/2019,9.42,6/11/2019,3.16,7/10/2019,5.06,8/9/2019,9.17,9/11/2019,4.1,10/9/2019,9.54,11/11/2019,5.84,12/10/2019,7.13,1/10/2020,6.3,2/11/2020,3.97,3/10/2020,38.89,4/9/2020,8.22,5/11/2020,9.52,6/9/2020,8.85,7/10/2020,11.05,8/11/2020,10.85
,1/13/2015,7.35,2/11/2015,3.79,3/11/2015,9,4/13/2015,3.72,5/12/2015,5.1,6/10/2015,5.01,7/13/2015,4,8/12/2015,5.18,9/11/2015,5.52,,,11/11/2015,6.68,12/10/2015,8.34,1/13/2016,14.22,2/10/2016,11.6,3/10/2016,5.92,4/12/2016,5.49,5/11/2016,5.67,6/10/2016,5.69,7/13/2016,2.79,8/10/2016,4.2,9/13/2016,7.65,10/12/2016,6.05,11/10/2016,3.5,12/12/2016,2.68,1/12/2017,3.87,2/10/2017,2.93,3/10/2017,5.44,4/12/2017,5.28,5/10/2017,3.72,6/12/2017,4.01,7/13/2017,2.98,8/10/2017,6.7,9/13/2017,3.12,10/11/2017,2.85,11/10/2017,4.33,12/12/2017,2.96,1/11/2018,1.96,2/12/2018,16.8,3/12/2018,3.18,4/11/2018,5.26,5/10/2018,3.32,6/12/2018,3.17,7/12/2018,3.12,8/10/2018,4.17,9/13/2018,4.38,10/10/2018,15.51,11/12/2018,8.07,12/13/2018,16.18,1/11/2019,4.44,2/12/2019,4.86,3/12/2019,6.01,4/10/2019,4.87,5/10/2019,8.7,6/12/2019,3.2,7/11/2019,4.75,8/12/2019,11.54,9/12/2019,3.64,10/10/2019,8.38,11/12/2019,5.5,12/11/2019,6.47,1/13/2020,5.27,2/12/2020,3.33,3/11/2020,41.12,4/13/2020,8.14,5/12/2020,12.93,6/10/2020,9.3,7/13/2020,13.16,8/12/2020,8.63
,1/14/2015,8.17,2/12/2015,2.89,3/12/2015,7.11,4/14/2015,3.45,5/13/2015,5.01,6/11/2015,4.85,7/14/2015,3.61,8/13/2015,5.21,9/14/2015,5.75,,,11/12/2015,8.6,12/11/2015,11.46,1/14/2016,10.85,2/11/2016,13.09,3/11/2016,4.37,4/13/2016,4.4,5/12/2016,5.68,6/13/2016,7.05,7/14/2016,2.46,8/11/2016,3.85,9/14/2016,8.09,10/13/2016,6.48,11/11/2016,3.5,12/13/2016,2.35,1/13/2017,3.59,2/13/2017,2.39,3/13/2017,5.26,4/13/2017,6.25,5/11/2017,3.91,6/13/2017,3.37,7/14/2017,2.58,8/11/2017,6.57,9/14/2017,3.02,10/12/2017,2.94,11/13/2017,4.16,12/13/2017,3.01,1/12/2018,1.66,2/13/2018,16.69,3/13/2018,3.61,4/12/2018,4.36,5/11/2018,2.93,6/13/2018,3.46,7/13/2018,2.93,8/13/2018,4.69,9/14/2018,4.14,10/11/2018,19.23,11/13/2018,8.34,12/14/2018,20.62,1/14/2019,4.64,2/13/2019,4.73,3/13/2019,4.96,4/11/2019,4.81,5/13/2019,13.5,6/13/2019,2.87,7/12/2019,4.26,8/13/2019,8.8,9/13/2019,3.68,10/11/2019,6.59,11/13/2019,5.35,12/12/2019,5.25,1/14/2020,5.24,2/13/2020,3.56,3/12/2020,58.71,4/14/2020,5.93,5/13/2020,14.74,6/11/2020,19.47,7/14/2020,11.03,8/13/2020,8.84
,1/15/2015,9.3,2/13/2015,2.62,3/13/2015,8.55,4/15/2015,3.01,5/14/2015,3.88,6/12/2015,5.65,7/15/2015,3.5,8/14/2015,4.7,9/15/2015,4.3,,,11/13/2015,10.23,12/14/2015,10.41,1/15/2016,15.3,2/12/2016,10.81,3/14/2016,4.2,4/14/2016,4.34,5/13/2016,6.48,6/14/2016,7.1,7/15/2016,2.48,8/12/2016,3.83,9/15/2016,6.45,10/14/2016,6.47,11/14/2016,3.36,12/14/2016,2.71,1/17/2017,3.82,2/14/2017,1.96,3/14/2017,5.69,4/17/2017,4.9,5/12/2017,3.89,6/14/2017,3.49,7/17/2017,2.45,8/14/2017,4.65,9/15/2017,2.8,10/13/2017,2.7,11/14/2017,4.27,12/14/2017,3.4,1/16/2018,2,2/14/2018,15.25,3/14/2018,4.06,4/13/2018,4.12,5/14/2018,2.71,6/14/2018,3.03,7/16/2018,2.85,8/14/2018,3.86,9/17/2018,4.8,10/12/2018,15.75,11/14/2018,9.42,12/18/2018,23.24,1/15/2019,3.64,2/14/2019,4.99,3/14/2019,5.17,4/12/2019,3.93,5/14/2019,10.23,6/14/2019,2.77,7/15/2019,4.13,8/14/2019,14.3,9/16/2019,3.85,10/14/2019,6.51,11/14/2019,5.26,12/13/2019,4.61,1/15/2020,5.03,2/14/2020,3.39,3/13/2020,55.4,4/15/2020,7.29,5/14/2020,12.77,6/12/2020,16.94,7/15/2020,9.55,8/14/2020,9.04
