,XLF 3/20/15 C20,,XLF 4/17/15 C18,,XLF 5/15/15 C19,,XLF 6/19/15 C19,,XLF 7/17/15 C19,,XLF 8/21/15 C20,,XLF 9/18/15 C20,,XLF 10/16/15 C20,,XLF 11/20/15 C18,,XLF 12/18/15 C18,,XLF 1/15/16 C19,,XLF 2/19/16 C20,,XLF 3/18/16 C18,,XLF 4/15/16 C17,,XLF 5/20/16 C17,,XLF 6/17/16 C18,,XLF 7/15/16 C19,,XLF 8/19/16 C19,,XLF 9/16/16 C18,,XLF 10/21/16 C19,,XLF 11/18/16 C19,,XLF 12/16/16 C19,,XLF 1/20/17 C19,,XLF 2/17/17 C22,,XLF 3/17/17 C23,,XLF 4/21/17 C23,,XLF 5/19/17 C25,,XLF 6/16/17 C23,,XLF 7/21/17 C23,,XLF 8/18/17 C23,,XLF 9/15/17 C25,,XLF 10/20/17 C25,,XLF 11/17/17 C24,,XLF 12/15/17 C26,,XLF 1/19/18 C26,,XLF 2/16/18 C27,,XLF 3/16/18 C27,,XLF 4/20/18 C30,,XLF 5/18/18 C28,,XLF 6/15/18 C26,,XLF 7/20/18 C27,,XLF 8/17/18 C27,,XLF 9/21/18 C26,,XLF 10/19/18 C27,,XLF 11/16/18 C28,,XLF 12/21/18 C27,,XLF 1/18/19 C26,,XLF 2/15/19 C27,,XLF 3/15/19 C24,,XLF 4/18/19 C26,,XLF 5/17/19 C26,,XLF 6/21/19 C26,,XLF 7/19/19 C27,,XLF 8/16/19 C26,,XLF 9/20/19 C27,,XLF 10/18/19 C27,,XLF 11/15/19 C26,,XLF 12/20/19 C27,,XLF 1/17/20 C29,,XLF 2/21/20 C29,,XLF 3/20/20 C31,,XLF 4/17/20 C30,,XLF 5/15/20 C27,,XLF 6/19/20 C19,,XLF 7/17/20 C22,,XLF 8/21/20 C23,,XLF 9/18/20 C22,,XLF 10/16/20 C24,
0,1/6/2015,3.95,2/23/2015,6.3,3/5/2015,5.4,4/1/2015,5.2,5/8/2015,5.57,6/19/2015,5.09,7/2/2015,4.69,8/3/2015,5.15,9/1/2015,4.9,10/8/2015,5.29,11/5/2015,5.5,12/10/2015,4.1,1/29/2016,3.45,2/8/2016,3.55,3/7/2016,5.25,4/12/2016,4.25,5/3/2016,4.31,6/24/2016,3.41,7/12/2016,5.25,9/20/2016,0.65,9/20/2016,0.81,10/3/2016,0.73,11/1/2016,1.01,12/1/2016,1.33,1/3/2017,1.01,2/1/2017,0.98,3/1/2017,0.95,4/3/2017,1.16,5/1/2017,1.15,6/12/2017,1.65,7/12/2017,0.58,8/1/2017,0.81,9/1/2017,1.17,10/2/2017,0.73,11/1/2017,1.11,12/18/2017,1.47,1/2/2018,1.41,2/9/2018,0.25,3/7/2018,1.52,4/2/2018,1.8,5/1/2018,1.03,6/1/2018,1.12,7/2/2018,1.41,8/1/2018,1.53,9/4/2018,1.1,10/1/2018,1.35,11/1/2018,1.3,12/3/2018,0.99,1/2/2019,1.02,2/1/2019,0.87,3/1/2019,1.2,4/1/2019,1.05,5/20/2019,0.7,6/7/2019,1.55,7/1/2019,1.52,8/15/2019,0.51,9/27/2019,2.33,10/1/2019,1.36,11/1/2019,0.85,12/19/2019,2,1/2/2020,0.93,2/7/2020,1.44,3/2/2020,1.34,4/1/2020,2.35,5/1/2020,1.6,6/10/2020,3.15,7/1/2020,2.1,8/3/2020,1.25
,1/7/2015,4.24,2/26/2015,6.43,3/6/2015,5.4,4/7/2015,5.3,6/1/2015,5.65,6/23/2015,5.2,7/6/2015,4.55,8/13/2015,5.14,9/9/2015,5.2,10/15/2015,5.19,11/9/2015,5.67,12/18/2015,3.86,2/2/2016,3.18,2/19/2016,4,5/2/2016,6.47,4/19/2016,5.3,5/31/2016,4.7,6/27/2016,2.67,7/14/2016,5.74,9/21/2016,0.65,9/21/2016,0.75,10/4/2016,0.81,11/2/2016,1.01,12/2/2016,1.16,1/4/2017,1.23,2/2/2017,0.8,3/2/2017,0.76,4/4/2017,1.18,5/2/2017,1.05,6/13/2017,1.64,7/13/2017,0.67,8/2/2017,0.77,9/5/2017,0.83,10/3/2017,0.78,11/2/2017,1.25,12/19/2017,1.45,1/3/2018,1.5,2/12/2018,0.3,3/8/2018,1.45,4/3/2018,2.01,5/2/2018,0.99,6/4/2018,1.16,7/3/2018,1.28,8/2/2018,1.42,9/5/2018,1.12,10/2/2018,1.35,11/2/2018,1.22,12/4/2018,0.5,1/3/2019,0.83,2/4/2019,0.89,3/4/2019,1.14,4/2/2019,1.08,5/21/2019,0.8,6/10/2019,1.76,7/2/2019,1.44,8/16/2019,0.69,9/30/2019,2.31,10/2/2019,1.03,11/4/2019,1.03,12/26/2019,2.1,1/3/2020,0.82,2/10/2020,1.41,3/3/2020,1.4,4/2/2020,2.65,5/4/2020,1.52,6/11/2020,1.79,7/2/2020,2.12,8/4/2020,1.16
,1/13/2015,3.91,2/27/2015,6.45,3/26/2015,4.95,4/8/2015,5.3,7/13/2015,5.86,7/1/2015,4.75,7/7/2015,4.33,8/17/2015,5.1,9/18/2015,4.92,10/16/2015,5.59,11/10/2015,5.52,1/11/2016,2.37,2/3/2016,3.18,3/1/2016,4.5,5/13/2016,6.17,5/18/2016,5.15,6/16/2016,3.61,6/28/2016,2.94,7/15/2016,5.45,9/22/2016,0.65,9/22/2016,0.81,10/5/2016,1.03,11/3/2016,1.02,12/5/2016,1.31,1/5/2017,1.06,2/3/2017,1.15,3/3/2017,0.78,4/5/2017,1.03,5/3/2017,1.17,6/14/2017,1.65,7/14/2017,0.59,8/3/2017,0.77,9/6/2017,0.9,10/4/2017,0.74,11/3/2017,1.2,12/20/2017,1.34,1/4/2018,1.73,2/13/2018,0.26,3/9/2018,2.07,4/4/2018,2.25,5/3/2018,0.85,6/5/2018,1.08,7/5/2018,1.25,8/3/2018,1.5,9/6/2018,1.02,10/3/2018,1.53,11/5/2018,1.51,12/6/2018,0.36,1/4/2019,1.17,2/5/2019,0.82,3/5/2019,1.04,4/3/2019,1.11,5/22/2019,0.7,6/11/2019,1.74,7/3/2019,1.56,8/19/2019,0.74,10/1/2019,1.87,10/3/2019,0.91,11/5/2019,1.1,12/27/2019,2.13,1/6/2020,0.72,2/11/2020,1.61,3/4/2020,1.64,4/3/2020,2.24,5/5/2020,1.39,6/12/2020,2.12,7/6/2020,2.22,8/5/2020,1.35
,1/16/2015,3.44,3/3/2015,6.44,3/30/2015,5.2,4/9/2015,5.25,,,7/6/2015,4.55,7/8/2015,4.3,8/21/2015,4.27,9/24/2015,4.6,10/30/2015,6.15,11/19/2015,5.65,1/12/2016,2.35,2/8/2016,2.49,3/17/2016,5.66,,,6/3/2016,5.29,6/30/2016,3.8,6/29/2016,3.36,8/19/2016,5.88,9/23/2016,0.58,9/23/2016,0.74,10/6/2016,0.97,11/4/2016,0.94,12/6/2016,1.47,1/6/2017,1.09,2/6/2017,1.05,3/6/2017,0.68,4/6/2017,1.1,5/4/2017,1.25,6/15/2017,1.58,7/17/2017,0.5,8/4/2017,0.86,9/7/2017,0.62,10/5/2017,0.92,11/6/2017,1.15,12/21/2017,1.55,1/5/2018,1.74,2/14/2018,0.37,3/12/2018,1.99,4/5/2018,2.38,5/4/2018,1.06,6/6/2018,1.43,7/6/2018,1.35,8/6/2018,1.66,9/10/2018,0.95,10/4/2018,1.72,11/6/2018,1.51,12/7/2018,0.29,1/7/2019,1.19,2/6/2019,0.82,3/6/2019,1.02,4/4/2019,1.26,5/23/2019,0.56,6/13/2019,1.54,7/5/2019,1.66,8/20/2019,0.53,10/2/2019,1.42,10/4/2019,1.22,11/6/2019,1.14,12/30/2019,2.09,1/7/2020,0.69,2/12/2020,1.56,3/5/2020,1.16,4/6/2020,3.23,5/6/2020,1.11,6/15/2020,2.33,7/7/2020,1.93,8/6/2020,1.36
,2/3/2015,3.7,3/13/2015,6.25,4/9/2015,5.25,4/15/2015,5.52,,,7/10/2015,4.65,7/9/2015,4.49,8/24/2015,3.53,11/16/2015,5.98,11/6/2015,6.76,12/2/2015,5.83,1/14/2016,2.07,2/9/2016,2.45,,,,,6/7/2016,5.7,7/14/2016,4.7,7/18/2016,4.65,,,9/26/2016,0.45,9/26/2016,0.58,10/7/2016,1.02,11/7/2016,1.24,12/7/2016,1.73,1/9/2017,0.99,2/7/2017,1.01,3/7/2017,0.65,4/7/2017,1.1,5/5/2017,1.19,7/12/2017,1.98,7/18/2017,0.44,8/7/2017,0.86,9/8/2017,0.74,10/6/2017,0.93,11/7/2017,0.92,12/22/2017,1.41,1/8/2018,1.73,2/15/2018,0.45,3/13/2018,1.75,4/6/2018,1.83,5/7/2018,1.1,6/7/2018,1.51,7/9/2018,1.77,8/7/2018,1.81,9/11/2018,0.95,10/5/2018,1.63,11/7/2018,1.77,12/10/2018,0.22,1/8/2019,1.14,2/7/2019,0.67,3/7/2019,0.76,4/5/2019,1.23,5/24/2019,0.63,6/14/2019,1.45,7/8/2019,1.51,8/21/2019,0.55,10/3/2019,1.34,10/7/2019,1.24,11/7/2019,1.34,12/31/2019,1.99,1/8/2020,0.8,2/13/2020,1.45,3/6/2020,0.98,4/7/2020,3.4,5/7/2020,1.29,6/16/2020,2.44,7/8/2020,1.99,8/7/2020,1.7
,2/6/2015,4.16,3/24/2015,6.5,4/20/2015,5.3,4/17/2015,5.15,,,,,7/13/2015,4.93,8/26/2015,3.17,,,11/12/2015,6.35,12/4/2015,5.73,1/15/2016,1.72,2/10/2016,2.56,,,,,6/15/2016,4.84,7/15/2016,4.45,8/18/2016,5.02,,,9/27/2016,0.46,9/27/2016,0.64,10/11/2016,0.95,11/8/2016,1.26,12/8/2016,2,1/10/2017,1.03,2/8/2017,0.89,3/8/2017,0.66,4/10/2017,1.07,5/8/2017,1.15,7/13/2017,2.12,7/19/2017,0.43,8/8/2017,0.85,9/11/2017,0.95,10/9/2017,0.84,11/8/2017,0.84,12/26/2017,1.31,1/9/2018,1.96,2/16/2018,0.44,3/14/2018,1.5,4/9/2018,2,5/8/2018,1.24,6/8/2018,1.47,7/10/2018,1.69,8/8/2018,1.81,9/12/2018,0.8,10/8/2018,1.76,11/8/2018,1.73,12/11/2018,0.19,1/9/2019,1.2,2/8/2019,0.61,3/8/2019,0.76,4/8/2019,1.2,5/28/2019,0.5,6/17/2019,1.61,7/9/2019,1.54,8/22/2019,0.65,10/4/2019,1.76,10/8/2019,0.97,11/8/2019,1.31,1/2/2020,2.24,1/9/2020,0.86,2/14/2020,1.53,3/9/2020,0.44,4/8/2020,3.9,5/8/2020,1.54,6/17/2020,2.26,7/9/2020,1.85,8/10/2020,1.7
,2/20/2015,4.3,3/27/2015,5.9,4/29/2015,5.4,4/28/2015,5.25,,,,,7/15/2015,5.23,8/27/2015,3.6,,,11/17/2015,6.26,12/16/2015,5.25,1/19/2016,1.84,2/11/2016,2.19,,,,,6/16/2016,4.7,,,,,,,9/28/2016,0.51,9/28/2016,0.67,10/12/2016,1,11/9/2016,1.99,12/9/2016,1.95,1/11/2017,1.03,2/9/2017,1.12,3/9/2017,0.66,4/11/2017,0.94,5/9/2017,1.11,7/14/2017,1.96,7/20/2017,0.42,8/9/2017,0.82,9/12/2017,1.13,10/10/2017,0.91,11/9/2017,0.76,12/27/2017,1.32,1/10/2018,2.2,2/20/2018,0.37,3/15/2018,1.51,4/10/2018,2.3,5/9/2018,1.55,6/11/2018,1.47,7/11/2018,1.57,8/9/2018,1.65,9/13/2018,0.7,10/9/2018,1.66,11/9/2018,1.57,12/12/2018,0.21,1/10/2019,1.21,2/11/2019,0.64,3/11/2019,0.84,4/9/2019,1.07,5/29/2019,0.48,6/18/2019,1.61,7/10/2019,1.45,8/23/2019,0.36,10/7/2019,1.7,10/9/2019,1.03,11/11/2019,1.23,1/3/2020,2.05,1/10/2020,0.71,2/18/2020,1.28,3/10/2020,0.63,4/9/2020,5,5/11/2020,1.29,6/18/2020,2.16,7/10/2020,2.35,8/11/2020,2
,2/25/2015,4.55,4/7/2015,6.25,5/8/2015,5.54,4/30/2015,5.25,,,,,7/16/2015,5.44,9/1/2015,2.88,,,12/14/2015,5.49,12/17/2015,5.15,1/20/2016,1.32,2/12/2016,2.6,,,,,,,,,,,,,9/29/2016,0.38,9/29/2016,0.59,10/13/2016,0.82,11/10/2016,2.74,12/12/2016,1.78,1/12/2017,0.96,2/10/2017,1.14,3/10/2017,0.61,4/12/2017,0.85,5/10/2017,1.12,7/17/2017,1.94,7/21/2017,0.37,8/10/2017,0.6,9/13/2017,1.15,10/11/2017,0.86,11/10/2017,0.74,12/28/2017,1.43,1/11/2018,2.2,2/21/2018,0.32,3/16/2018,1.53,4/11/2018,2.04,5/10/2018,1.66,6/12/2018,1.35,7/12/2018,1.61,8/10/2018,1.41,9/14/2018,0.82,10/10/2018,1.2,11/12/2018,1.42,12/13/2018,0.16,1/11/2019,1.2,2/12/2019,0.84,3/12/2019,0.83,4/10/2019,1.14,5/30/2019,0.41,6/19/2019,1.58,7/11/2019,1.6,8/26/2019,0.46,10/8/2019,1.44,10/10/2019,1.22,11/12/2019,1.2,1/6/2020,1.86,1/13/2020,0.83,2/19/2020,1.49,3/11/2020,0.43,4/13/2020,4.55,5/12/2020,0.94,6/19/2020,1.93,7/13/2020,2.38,8/12/2020,1.9
,3/2/2015,4.43,,,5/13/2015,5.6,5/8/2015,5.75,,,,,7/17/2015,5.4,9/2/2015,2.97,,,12/16/2015,6.05,1/5/2016,4.4,1/21/2016,1.31,2/16/2016,2.77,,,,,,,,,,,,,9/30/2016,0.53,9/30/2016,0.72,10/14/2016,0.89,11/11/2016,2.59,12/13/2016,1.82,1/13/2017,1.03,2/13/2017,1.34,3/13/2017,0.58,4/13/2017,0.67,5/11/2017,1.03,7/18/2017,1.85,7/24/2017,0.43,8/11/2017,0.56,9/14/2017,1.1,10/12/2017,0.75,11/13/2017,0.73,12/29/2017,1.33,1/12/2018,2.48,2/22/2018,0.29,3/19/2018,1.38,4/12/2018,2.41,5/11/2018,1.62,6/13/2018,1.28,7/13/2018,1.47,8/13/2018,1.28,9/17/2018,0.73,10/11/2018,0.81,11/13/2018,1.4,12/14/2018,0.13,1/14/2019,1.28,2/13/2019,0.87,3/13/2019,0.97,4/11/2019,1.26,5/31/2019,0.29,6/20/2019,1.62,7/12/2019,1.73,8/27/2019,0.42,10/9/2019,1.51,10/11/2019,1.4,11/13/2019,1.08,1/7/2020,1.92,1/14/2020,0.77,2/20/2020,1.4,3/12/2020,0.3,4/14/2020,4.09,5/13/2020,0.77,6/22/2020,1.92,7/14/2020,2.49,8/13/2020,1.76
,3/13/2015,4.23,,,,,5/19/2015,6.04,,,,,7/20/2015,5.5,9/3/2015,3.18,,,12/17/2015,6.25,1/6/2016,4.05,1/25/2016,1.3,2/17/2016,3.15,,,,,,,,,,,,,10/3/2016,0.45,10/3/2016,0.64,10/17/2016,0.83,11/14/2016,3.13,12/14/2016,1.74,1/17/2017,0.67,2/14/2017,1.55,3/14/2017,0.59,4/17/2017,0.84,5/12/2017,0.95,7/19/2017,1.84,7/25/2017,0.63,8/14/2017,0.65,9/15/2017,1.16,10/13/2017,0.75,11/14/2017,0.69,1/2/2018,1.24,1/16/2018,2.43,2/23/2018,0.34,3/20/2018,1.4,4/13/2018,1.9,5/14/2018,1.59,6/14/2018,1.1,7/16/2018,1.86,8/14/2018,1.4,9/18/2018,0.81,10/12/2018,0.75,11/14/2018,1.2,12/17/2018,0.11,1/15/2019,1.38,2/14/2019,0.67,3/14/2019,1.02,4/12/2019,1.61,6/3/2019,0.32,6/21/2019,1.67,7/15/2019,1.56,8/28/2019,0.46,10/11/2019,2.05,10/14/2019,1.36,11/14/2019,1.08,1/8/2020,2.08,1/15/2020,0.64,2/21/2020,1.24,3/13/2020,0.48,4/15/2020,3.48,5/14/2020,0.99,6/23/2020,1.87,7/15/2020,2.71,8/14/2020,1.79
