,XLF 3/20/15 P20,,XLF 4/17/15 P18,,XLF 5/15/15 P19,,XLF 6/19/15 P19,,XLF 7/17/15 P19,,XLF 8/21/15 P20,,XLF 9/18/15 P20,,XLF 10/16/15 P20,,XLF 11/20/15 P18,,XLF 12/18/15 P18,,XLF 1/15/16 P19,,XLF 2/19/16 P20,,XLF 3/18/16 P18,,XLF 4/15/16 P17,,XLF 5/20/16 P17,,XLF 6/17/16 P18,,XLF 7/15/16 P19,,XLF 8/19/16 P19,,XLF 9/16/16 P18,,XLF 10/21/16 P19,,XLF 11/18/16 P19,,XLF 12/16/16 P19,,XLF 1/20/17 P19,,XLF 2/17/17 P22,,XLF 3/17/17 P23,,XLF 4/21/17 P23,,XLF 5/19/17 P25,,XLF 6/16/17 P23,,XLF 7/21/17 P23,,XLF 8/18/17 P23,,XLF 9/15/17 P25,,XLF 10/20/17 P25,,XLF 11/17/17 P24,,XLF 12/15/17 P26,,XLF 1/19/18 P26,,XLF 2/16/18 P27,,XLF 3/16/18 P27,,XLF 4/20/18 P30,,XLF 5/18/18 P28,,XLF 6/15/18 P26,,XLF 7/20/18 P27,,XLF 8/17/18 P27,,XLF 9/21/18 P26,,XLF 10/19/18 P27,,XLF 11/16/18 P28,,XLF 12/21/18 P27,,XLF 1/18/19 P26,,XLF 2/15/19 P27,,XLF 3/15/19 P24,,XLF 4/18/19 P26,,XLF 5/17/19 P26,,XLF 6/21/19 P26,,XLF 7/19/19 P27,,XLF 8/16/19 P26,,XLF 9/20/19 P27,,XLF 10/18/19 P27,,XLF 11/15/19 P26,,XLF 12/20/19 P27,,XLF 1/17/20 P29,,XLF 2/21/20 P29,,XLF 3/20/20 P31,,XLF 4/17/20 P30,,XLF 5/15/20 P27,,XLF 6/19/20 P19,,XLF 7/17/20 P22,,XLF 8/21/20 P23,,XLF 9/18/20 P22,,XLF 10/16/20 P24,
0,1/2/2015,0.09,2/13/2015,0.04,3/2/2015,0.07,4/1/2015,0.07,5/6/2015,0.03,6/16/2015,0.04,7/10/2015,0.06,8/10/2015,0.03,9/4/2015,0.18,10/2/2015,0.13,11/4/2015,0.04,12/3/2015,0.08,1/4/2016,0.09,2/1/2016,0.08,3/1/2016,0.13,4/4/2016,0.05,5/3/2016,0.09,6/15/2016,0.12,7/6/2016,0.09,9/16/2016,0.02,9/20/2016,0.43,10/3/2016,0.58,11/1/2016,0.52,12/1/2016,0.53,1/3/2017,0.63,2/1/2017,0.57,3/1/2017,0.76,4/3/2017,0.53,5/1/2017,0.47,6/13/2017,0.22,7/12/2017,0.74,8/1/2017,0.54,9/1/2017,0.4,10/2/2017,0.69,11/1/2017,0.51,12/18/2017,0.32,1/2/2018,0.46,2/9/2018,2.95,3/7/2018,0.72,4/2/2018,0.81,5/1/2018,0.64,6/1/2018,0.6,7/2/2018,0.6,8/1/2018,0.47,9/4/2018,0.58,10/1/2018,0.57,11/1/2018,0.79,12/3/2018,0.8,1/2/2019,1.03,2/1/2019,0.84,3/1/2019,0.5,4/1/2019,0.65,5/20/2019,0.86,6/7/2019,0.46,7/1/2019,0.49,8/15/2019,1.47,9/23/2019,0.21,10/1/2019,0.84,11/1/2019,0.8,12/20/2019,0.24,1/2/2020,0.79,2/6/2020,0.52,3/2/2020,1.36,4/1/2020,1.87,5/1/2020,1.74,6/9/2020,0.53,7/1/2020,1.09,8/3/2020,1.24
,1/6/2015,0.15,2/17/2015,0.03,4/13/2015,0.03,4/2/2015,0.05,,,6/26/2015,0.03,7/14/2015,0.04,8/24/2015,0.27,9/8/2015,0.13,10/5/2015,0.07,11/5/2015,0.05,12/8/2015,0.09,1/7/2016,0.11,2/8/2016,0.21,3/2/2016,0.08,4/5/2016,0.07,5/4/2016,0.09,6/16/2016,0.13,7/11/2016,0.05,9/20/2016,0.27,9/21/2016,0.39,10/4/2016,0.54,11/2/2016,0.52,12/2/2016,0.6,1/4/2017,0.52,2/2/2017,0.66,3/2/2017,0.94,4/4/2017,0.5,5/2/2017,0.48,6/14/2017,0.23,7/13/2017,0.63,8/2/2017,0.54,9/5/2017,0.68,10/3/2017,0.65,11/2/2017,0.44,12/19/2017,0.35,1/3/2018,0.39,2/12/2018,2.17,3/8/2018,0.6,4/3/2018,0.68,5/2/2018,0.78,6/4/2018,0.56,7/3/2018,0.68,8/2/2018,0.49,9/5/2018,0.59,10/2/2018,0.55,11/2/2018,0.83,12/4/2018,1.57,1/3/2019,1.29,2/4/2019,0.76,3/4/2019,0.59,4/2/2019,0.65,5/21/2019,0.65,6/10/2019,0.36,7/2/2019,0.51,8/16/2019,1.17,9/24/2019,0.27,10/2/2019,1.1,11/4/2019,0.69,12/23/2019,0.25,1/3/2020,0.93,2/7/2020,0.55,3/3/2020,1.52,4/2/2020,1.68,5/4/2020,1.77,6/10/2020,0.69,7/2/2020,1.03,8/4/2020,1.3
,1/8/2015,0.09,2/23/2015,0.04,4/17/2015,0.03,4/13/2015,0.04,,,6/29/2015,0.07,8/21/2015,0.06,8/25/2015,0.3,9/21/2015,0.05,10/15/2015,0.05,11/6/2015,0.03,12/11/2015,0.14,1/12/2016,0.09,2/10/2016,0.19,3/3/2016,0.08,4/11/2016,0.06,5/6/2016,0.09,6/24/2016,0.19,7/14/2016,0.03,9/21/2016,0.2,9/22/2016,0.31,10/5/2016,0.43,11/3/2016,0.51,12/5/2016,0.49,1/5/2017,0.63,2/3/2017,0.47,3/3/2017,0.84,4/5/2017,0.59,5/3/2017,0.44,6/15/2017,0.25,7/14/2017,0.69,8/3/2017,0.55,9/6/2017,0.6,10/4/2017,0.68,11/3/2017,0.45,12/20/2017,0.32,1/4/2018,0.32,2/13/2018,2.09,3/9/2018,0.37,4/4/2018,0.51,5/3/2018,0.9,6/5/2018,0.61,7/5/2018,0.65,8/3/2018,0.39,9/6/2018,0.65,10/3/2018,0.48,11/5/2018,0.68,12/6/2018,2.1,1/4/2019,0.87,2/5/2019,0.73,3/5/2019,0.57,4/3/2019,0.61,5/22/2019,0.68,6/12/2019,0.45,7/3/2019,0.44,8/19/2019,0.92,9/25/2019,0.23,10/3/2019,1.1,11/5/2019,0.66,12/24/2019,0.23,1/6/2020,0.95,2/10/2020,0.56,3/4/2020,1.05,4/3/2020,1.75,5/5/2020,1.66,6/11/2020,1.78,7/6/2020,0.87,8/5/2020,1.1
,1/12/2015,0.1,2/24/2015,0.04,4/20/2015,0.02,4/17/2015,0.05,,,7/7/2015,0.06,8/24/2015,0.21,8/26/2015,0.17,9/22/2015,0.09,10/16/2015,0.03,12/3/2015,0.02,12/18/2015,0.1,1/14/2016,0.11,2/11/2016,0.31,3/4/2016,0.07,4/20/2016,0.02,5/10/2016,0.06,6/27/2016,0.25,7/15/2016,0.03,9/22/2016,0.16,9/23/2016,0.33,10/6/2016,0.44,11/4/2016,0.53,12/6/2016,0.41,1/6/2017,0.5,2/6/2017,0.48,3/6/2017,0.88,4/6/2017,0.49,5/4/2017,0.41,7/12/2017,0.09,7/17/2017,0.64,8/4/2017,0.47,9/7/2017,0.79,10/5/2017,0.6,11/6/2017,0.41,12/21/2017,0.29,1/5/2018,0.29,2/14/2018,1.81,3/12/2018,0.36,4/5/2018,0.46,5/4/2018,0.67,6/6/2018,0.45,7/6/2018,0.54,8/6/2018,0.33,9/7/2018,0.65,10/4/2018,0.5,11/6/2018,0.63,12/7/2018,2.19,1/7/2019,0.75,2/6/2019,0.76,3/6/2019,0.67,4/4/2019,0.59,5/23/2019,1.01,6/13/2019,0.45,7/5/2019,0.41,8/20/2019,1.14,9/26/2019,0.24,10/4/2019,0.78,11/6/2019,0.6,12/26/2019,0.2,1/7/2020,0.99,2/11/2020,0.44,3/5/2020,2.06,4/6/2020,1.05,5/6/2020,1.85,6/12/2020,1.52,7/7/2020,1.03,8/6/2020,1.16
,1/13/2015,0.1,2/26/2015,0.05,4/22/2015,0.01,4/20/2015,0.03,,,7/8/2015,0.06,8/25/2015,0.1,8/28/2015,0.14,9/23/2015,0.1,,,12/14/2015,0.03,12/21/2015,0.11,1/15/2016,0.22,2/12/2016,0.28,3/7/2016,0.08,4/26/2016,0.02,5/13/2016,0.07,6/28/2016,0.13,7/28/2016,0.02,9/23/2016,0.19,9/26/2016,0.48,10/7/2016,0.41,11/7/2016,0.34,12/7/2016,0.34,1/9/2017,0.59,2/7/2017,0.48,3/7/2017,0.91,4/7/2017,0.54,5/5/2017,0.42,7/13/2017,0.07,7/18/2017,0.74,8/7/2017,0.55,9/8/2017,0.68,10/6/2017,0.64,11/7/2017,0.58,12/22/2017,0.28,1/8/2018,0.28,2/15/2018,1.53,3/13/2018,0.4,4/6/2018,0.69,5/7/2018,0.61,6/7/2018,0.44,7/9/2018,0.38,8/7/2018,0.29,9/10/2018,0.61,10/5/2018,0.5,11/7/2018,0.43,12/10/2018,2.55,1/8/2019,0.78,2/7/2019,0.9,3/7/2019,0.81,4/5/2019,0.56,5/24/2019,0.85,6/14/2019,0.44,7/8/2019,0.42,8/21/2019,1.04,9/27/2019,0.25,10/7/2019,0.8,11/7/2019,0.55,12/27/2019,0.2,1/8/2020,0.92,2/12/2020,0.42,3/6/2020,2.81,4/7/2020,1.02,5/7/2020,1.63,6/15/2020,1.36,7/8/2020,0.98,8/7/2020,0.96
,1/14/2015,0.15,3/2/2015,0.04,4/27/2015,0.02,4/27/2015,0.03,,,7/10/2015,0.02,8/26/2015,0.1,8/31/2015,0.15,9/24/2015,0.12,,,12/18/2015,0.01,12/28/2015,0.05,1/19/2016,0.16,2/16/2016,0.14,3/10/2016,0.08,5/4/2016,0.02,5/17/2016,0.06,6/29/2016,0.07,8/1/2016,0.02,9/26/2016,0.3,9/27/2016,0.41,10/10/2016,0.37,11/8/2016,0.32,12/8/2016,0.33,1/10/2017,0.52,2/8/2017,0.53,3/8/2017,0.87,4/10/2017,0.55,5/8/2017,0.38,7/14/2017,0.06,7/19/2017,0.64,8/8/2017,0.58,9/11/2017,0.5,10/9/2017,0.61,11/8/2017,0.65,12/26/2017,0.29,1/9/2018,0.26,2/16/2018,1.25,3/14/2018,0.58,4/9/2018,0.54,5/8/2018,0.59,6/8/2018,0.44,7/10/2018,0.4,8/8/2018,0.28,9/11/2018,0.61,10/8/2018,0.44,11/8/2018,0.4,12/11/2018,2.55,1/9/2019,0.72,2/8/2019,0.99,3/8/2019,0.77,4/8/2019,0.55,5/28/2019,0.97,6/17/2019,0.42,7/9/2019,0.4,8/22/2019,0.92,9/30/2019,0.2,10/8/2019,1.04,11/8/2019,0.54,12/30/2019,0.23,1/9/2020,0.82,2/13/2020,0.44,3/9/2020,4.61,4/8/2020,0.84,5/8/2020,1.35,6/16/2020,1.24,7/9/2020,1.15,8/10/2020,0.88
,1/15/2015,0.15,3/19/2015,0.01,4/30/2015,0.02,4/30/2015,0.04,,,7/13/2015,0.02,8/31/2015,0.05,9/1/2015,0.29,9/25/2015,0.07,,,1/4/2016,0.03,12/30/2015,0.04,1/20/2016,0.3,2/17/2016,0.11,3/16/2016,0.03,5/5/2016,0.02,5/18/2016,0.08,6/30/2016,0.06,8/11/2016,0.01,9/27/2016,0.23,9/28/2016,0.37,10/11/2016,0.48,11/9/2016,0.18,12/9/2016,0.31,1/11/2017,0.49,2/9/2017,0.43,3/9/2017,0.92,4/11/2017,0.6,5/9/2017,0.37,7/17/2017,0.04,7/20/2017,0.61,8/9/2017,0.6,9/12/2017,0.39,10/10/2017,0.56,11/9/2017,0.7,12/27/2017,0.27,1/10/2018,0.23,2/20/2018,1.48,3/15/2018,0.51,4/10/2018,0.48,5/9/2018,0.46,6/11/2018,0.41,7/11/2018,0.42,8/9/2018,0.32,9/12/2018,0.68,10/9/2018,0.46,11/9/2018,0.47,12/12/2018,2.33,1/10/2019,0.7,2/11/2019,0.9,3/11/2019,0.6,4/9/2019,0.61,5/29/2019,1,6/18/2019,0.33,7/10/2019,0.43,8/23/2019,1.46,10/1/2019,0.33,10/9/2019,0.95,11/11/2019,0.52,12/31/2019,0.24,1/10/2020,0.9,2/14/2020,0.4,3/10/2020,3.65,4/9/2020,0.64,5/11/2020,1.5,6/17/2020,1.25,7/10/2020,0.88,8/11/2020,0.78
,1/16/2015,0.16,3/20/2015,0.02,5/4/2015,0.02,5/4/2015,0.03,,,,,9/1/2015,0.11,9/2/2015,0.2,9/29/2015,0.11,,,1/12/2016,0.01,1/4/2016,0.08,1/22/2016,0.15,2/22/2016,0.07,3/18/2016,0.02,5/17/2016,0.01,5/24/2016,0.02,7/1/2016,0.06,,,9/28/2016,0.19,9/29/2016,0.51,10/12/2016,0.45,11/10/2016,0.15,12/12/2016,0.32,1/12/2017,0.57,2/10/2017,0.36,3/10/2017,0.83,4/12/2017,0.66,5/10/2017,0.37,7/18/2017,0.05,7/21/2017,0.6,8/10/2017,0.79,9/13/2017,0.38,10/11/2017,0.57,11/10/2017,0.68,12/28/2017,0.22,1/11/2018,0.19,2/21/2018,1.41,3/16/2018,0.46,4/11/2018,0.54,5/10/2018,0.39,6/12/2018,0.46,7/12/2018,0.43,8/10/2018,0.42,9/13/2018,0.66,10/10/2018,0.8,11/12/2018,0.69,12/13/2018,2.74,1/11/2019,0.65,2/12/2019,0.68,3/12/2019,0.56,4/10/2019,0.55,5/30/2019,1.11,6/19/2019,0.3,7/11/2019,0.37,8/26/2019,1.22,10/2/2019,0.49,10/10/2019,0.85,11/12/2019,0.53,1/2/2020,0.15,1/13/2020,0.85,2/18/2020,0.47,3/11/2020,5,4/13/2020,0.77,5/12/2020,1.81,6/18/2020,1.2,7/13/2020,0.87,8/12/2020,0.76
,1/20/2015,0.11,3/25/2015,0.02,5/7/2015,0.02,5/7/2015,0.03,,,,,9/2/2015,0.05,9/3/2015,0.12,9/30/2015,0.07,,,,,1/5/2016,0.08,1/25/2016,0.16,2/24/2016,0.09,3/23/2016,0.04,,,5/26/2016,0.03,7/5/2016,0.08,,,9/29/2016,0.35,9/30/2016,0.37,10/13/2016,0.53,11/11/2016,0.13,12/13/2016,0.32,1/13/2017,0.5,2/13/2017,0.3,3/13/2017,0.8,4/13/2017,0.75,5/11/2017,0.39,7/19/2017,0.03,7/24/2017,0.53,8/11/2017,0.9,9/14/2017,0.38,10/12/2017,0.65,11/13/2017,0.7,12/29/2017,0.25,1/12/2018,0.16,2/22/2018,1.35,3/19/2018,0.62,4/12/2018,0.45,5/11/2018,0.36,6/13/2018,0.41,7/13/2018,0.4,8/13/2018,0.53,9/14/2018,0.59,10/11/2018,1.26,11/13/2018,0.6,12/14/2018,2.93,1/14/2019,0.58,2/13/2019,0.6,3/13/2019,0.49,4/11/2019,0.52,5/31/2019,1.35,6/20/2019,0.33,7/12/2019,0.32,8/27/2019,1.28,10/3/2019,0.46,10/11/2019,0.69,11/13/2019,0.56,1/3/2020,0.19,1/14/2020,0.81,2/19/2020,0.39,3/12/2020,6.69,4/14/2020,0.64,5/13/2020,2.24,6/19/2020,1.3,7/14/2020,0.77,8/13/2020,0.82
,1/22/2015,0.06,4/2/2015,0.02,5/11/2015,0.02,5/11/2015,0.02,,,,,9/4/2015,0.08,9/4/2015,0.21,10/2/2015,0.07,,,,,1/6/2016,0.08,1/28/2016,0.14,2/26/2016,0.06,3/24/2016,0.04,,,6/1/2016,0.03,7/6/2016,0.07,,,9/30/2016,0.23,10/3/2016,0.4,10/14/2016,0.46,11/14/2016,0.12,12/14/2016,0.34,1/17/2017,0.72,2/14/2017,0.25,3/14/2017,0.85,4/17/2017,0.55,5/12/2017,0.44,7/20/2017,0.04,7/25/2017,0.43,8/14/2017,0.62,9/15/2017,0.35,10/13/2017,0.62,11/14/2017,0.65,1/2/2018,0.27,1/16/2018,0.19,2/23/2018,1.36,3/20/2018,0.54,4/13/2018,0.47,5/14/2018,0.33,6/14/2018,0.49,7/16/2018,0.27,8/14/2018,0.4,9/17/2018,0.61,10/12/2018,1.16,11/14/2018,0.76,12/17/2018,3.2,1/15/2019,0.46,2/14/2019,0.72,3/14/2019,0.44,4/12/2019,0.39,6/3/2019,1.29,6/21/2019,0.28,7/15/2019,0.36,8/28/2019,1.12,10/4/2019,0.28,10/14/2019,0.65,11/14/2019,0.54,1/6/2020,0.23,1/15/2020,0.88,2/20/2020,0.49,3/13/2020,5.35,4/15/2020,0.87,5/14/2020,1.95,6/22/2020,1.18,7/15/2020,0.61,8/14/2020,0.76
