,XLI 3/20/15 C56,,XLI 4/17/15 C55,,XLI 5/15/15 C58,,XLI 6/19/15 C55,,XLI 7/17/15 C56,,XLI 8/21/15 C56,,XLI 9/18/15 C54,,XLI 10/16/15 C53,,XLI 11/20/15 C49,,XLI 12/18/15 C49,,XLI 1/15/16 C54,,XLI 2/19/16 C55,,XLI 3/18/16 C52,,XLI 4/15/16 C49,,XLI 5/20/16 C53,,XLI 6/17/16 C55,,XLI 7/15/16 C56,,XLI 8/19/16 C55,,XLI 9/16/16 C56,,XLI 10/21/16 C57,,XLI 11/18/16 C58,,XLI 12/16/16 C58,,XLI 1/20/17 C56,,XLI 2/17/17 C62,,XLI 3/17/17 C62,,XLI 4/21/17 C63,,XLI 5/19/17 C66,,XLI 6/16/17 C64,,XLI 7/21/17 C66,,XLI 8/18/17 C67,,XLI 9/15/17 C68,,XLI 10/20/17 C68,,XLI 11/17/17 C68,,XLI 12/15/17 C71,,XLI 1/19/18 C71,,XLI 2/16/18 C73,,XLI 3/16/18 C76,,XLI 4/20/18 C79,,XLI 5/18/18 C75,,XLI 6/15/18 C72,,XLI 7/20/18 C71,,XLI 8/17/18 C75,,XLI 9/21/18 C71,,XLI 10/19/18 C75,,XLI 11/16/18 C77,,XLI 12/21/18 C79,,XLI 1/18/19 C71,,XLI 2/15/19 C73,,XLI 3/15/19 C64,,XLI 4/18/19 C71,,XLI 5/17/19 C76,,XLI 6/21/19 C76,,XLI 7/19/19 C77,,XLI 8/16/19 C72,,XLI 9/20/19 C77,,XLI 10/18/19 C76,,XLI 11/15/19 C74,,XLI 12/20/19 C75,,XLI 1/17/20 C80,,XLI 2/21/20 C80,,XLI 3/20/20 C83,,XLI 4/17/20 C81,,XLI 5/15/20 C75,,XLI 6/19/20 C56,,XLI 7/17/20 C62,,XLI 8/21/20 C67,,XLI 9/18/20 C68,,XLI 10/16/20 C72,
0,1/2/2015,1.88,2/24/2015,3.4,3/23/2015,0.6,4/9/2015,2.1,5/19/2015,1.76,6/22/2015,1.18,7/6/2015,1.48,8/25/2015,0.48,9/21/2015,3.25,10/1/2015,2.28,11/5/2015,1.87,12/22/2015,0.4,1/4/2016,1.76,4/13/2016,6.45,3/22/2016,3.09,4/5/2016,1.5,5/23/2016,0.68,6/21/2016,2.26,7/1/2016,1.78,8/3/2016,1.85,9/19/2016,0.88,10/3/2016,1.68,11/1/2016,2.25,12/19/2016,2.01,1/3/2017,2.03,2/23/2017,3.15,3/20/2017,1.25,4/3/2017,2.12,5/22/2017,1.6,6/19/2017,2.76,7/12/2017,2.32,8/21/2017,0.97,9/20/2017,2.93,10/2/2017,1.59,11/1/2017,1.87,12/19/2017,2.99,1/2/2018,1.67,2/20/2018,1,3/19/2018,2.68,4/2/2018,3,5/1/2018,2.65,6/1/2018,2.17,7/2/2018,2.78,8/1/2018,3.01,9/4/2018,1.98,10/1/2018,2.19,11/1/2018,2.58,12/24/2018,0.09,1/3/2019,2.34,2/4/2019,3.11,3/4/2019,2.63,4/1/2019,2.72,5/2/2019,2.38,7/10/2019,5.05,7/1/2019,2.6,8/19/2019,1.78,9/30/2019,4.7,10/2/2019,2.4,11/1/2019,2.16,12/24/2019,3.1,1/2/2020,2.12,2/24/2020,2.54,3/27/2020,0.31,4/17/2020,9.01,5/15/2020,2.07,6/11/2020,4.9,7/6/2020,4.75,8/21/2020,5.8
,1/5/2015,1.6,2/25/2015,3.4,3/30/2015,0.43,4/13/2015,2.44,5/27/2015,1.29,6/23/2015,1.07,7/10/2015,1.61,8/27/2015,0.79,9/28/2015,1.8,10/5/2015,3.4,11/6/2015,1.82,12/23/2015,0.55,1/5/2016,1.73,,,3/28/2016,2.8,4/6/2016,1.38,5/25/2016,0.99,6/22/2016,2.18,7/5/2016,1.45,8/5/2016,2.19,9/20/2016,0.92,10/4/2016,1.51,11/3/2016,1.92,12/20/2016,2.27,1/4/2017,2.21,2/24/2017,2.99,3/21/2017,0.84,4/4/2017,2.25,5/24/2017,1.65,7/13/2017,2.51,7/13/2017,2.22,8/22/2017,1.25,9/27/2017,3.26,10/3/2017,1.88,11/2/2017,2,12/20/2017,3.2,1/3/2018,1.92,2/21/2018,1.12,3/22/2018,1.87,4/3/2018,3.7,5/2/2018,2.38,6/4/2018,2.19,7/3/2018,2.99,8/2/2018,2.7,9/5/2018,2.21,10/2/2018,2.28,11/2/2018,2.65,1/2/2019,0.09,1/4/2019,2.89,2/15/2019,5.25,3/5/2019,1.95,4/2/2019,2.63,5/6/2019,2.53,8/5/2019,2.59,7/3/2019,2.63,8/20/2019,1.52,10/1/2019,3.49,10/3/2019,2.02,11/4/2019,2.82,1/2/2020,3.4,1/3/2020,2.44,2/25/2020,1.33,3/31/2020,0.2,5/12/2020,5.86,5/18/2020,4.07,6/15/2020,5.16,7/8/2020,4.04,8/25/2020,6.55
,1/7/2015,1.17,2/27/2015,3,4/6/2015,0.24,4/15/2015,2.55,5/28/2015,1.22,6/24/2015,0.84,7/21/2015,1.48,8/31/2015,0.77,9/29/2015,1.76,10/19/2015,3.85,11/9/2015,1.56,12/28/2015,0.48,1/6/2016,1.4,,,3/30/2016,3.15,4/7/2016,1.25,5/26/2016,0.9,6/24/2016,1.47,7/7/2016,1.6,8/8/2016,2.14,9/21/2016,1,10/5/2016,1.65,11/7/2016,2.52,12/21/2016,2.14,1/5/2017,2.02,2/27/2017,3.43,3/22/2017,0.8,4/5/2017,2.55,5/25/2017,1.93,7/14/2017,2.9,7/14/2017,2.25,8/23/2017,0.97,10/3/2017,3.83,10/4/2017,1.93,11/3/2017,1.97,12/21/2017,3.04,1/4/2018,2.33,2/22/2018,1.11,3/23/2018,1.46,4/5/2018,4.4,5/3/2018,2.58,6/5/2018,2.06,7/5/2018,2.81,8/3/2018,2.34,9/6/2018,2.5,10/3/2018,2.66,11/5/2018,2.83,1/4/2019,0.09,1/16/2019,4.96,2/19/2019,5.07,3/6/2019,1.87,4/3/2019,2.49,5/7/2019,1.99,8/6/2019,2.88,7/5/2019,2.45,8/21/2019,1.64,10/2/2019,2.48,10/7/2019,2.85,11/5/2019,2.88,1/6/2020,3.54,1/6/2020,2.17,2/26/2020,1.17,4/7/2020,0.04,5/15/2020,4.8,5/20/2020,4.43,6/16/2020,6.95,7/9/2020,3.56,9/8/2020,6.41
,1/8/2015,1.5,3/3/2015,2.98,4/10/2015,0.44,4/16/2015,2.33,5/29/2015,1.08,6/25/2015,0.7,7/22/2015,1.18,9/2/2015,0.5,10/1/2015,2.14,10/22/2015,5.8,11/16/2015,1.22,12/29/2015,0.65,1/7/2016,0.96,,,3/31/2016,3.1,4/11/2016,1.45,5/27/2016,0.92,6/27/2016,0.86,7/8/2016,2.15,8/9/2016,2.14,9/22/2016,1.37,10/6/2016,1.63,11/8/2016,3.1,12/22/2016,2.01,1/6/2017,2.3,2/28/2017,3.15,3/23/2017,0.93,4/7/2017,2.31,5/26/2017,2.01,7/19/2017,2.48,7/17/2017,2.2,8/24/2017,0.84,10/4/2017,3.95,10/5/2017,2.03,11/6/2017,1.97,12/22/2017,3.05,1/5/2018,2.55,2/23/2018,1.04,3/26/2018,1.97,4/6/2018,3.6,5/4/2018,2.89,6/6/2018,2.21,7/6/2018,2.98,8/6/2018,2.56,9/7/2018,2.19,10/4/2018,2.47,11/6/2018,3.15,1/7/2019,0.11,1/18/2019,6.65,2/21/2019,5.35,3/7/2019,1.28,4/4/2019,2.83,5/8/2019,2.11,8/7/2019,2.93,7/8/2019,2.2,8/22/2019,1.66,10/3/2019,2.51,10/8/2019,2.48,11/6/2019,2.8,1/7/2020,3.65,1/7/2020,2.3,2/27/2020,0.8,4/9/2020,0.1,5/26/2020,10.75,5/26/2020,5.45,6/22/2020,4.9,7/10/2020,3.65,9/10/2020,5.62
,1/12/2015,1.26,3/4/2015,2.37,4/13/2015,0.31,4/17/2015,2,6/1/2015,0.98,6/26/2015,0.68,7/23/2015,0.93,9/3/2015,0.58,10/2/2015,1.75,11/3/2015,6,11/17/2015,1.5,12/30/2015,0.49,1/8/2016,0.77,,,4/1/2016,2.79,4/13/2016,1.97,5/31/2016,0.88,6/28/2016,0.8,7/11/2016,2.47,8/15/2016,2.55,9/23/2016,1.09,10/7/2016,1.28,11/9/2016,4.15,12/23/2016,2,1/10/2017,2.04,3/3/2017,3.5,3/24/2017,0.73,4/10/2017,2.44,5/30/2017,1.91,7/21/2017,1.69,7/18/2017,2.1,8/25/2017,0.94,10/17/2017,4.08,10/6/2017,1.85,11/7/2017,1.95,12/27/2017,3.25,1/8/2018,2.92,2/26/2018,1.52,3/27/2018,1.59,4/9/2018,3.5,5/7/2018,3.22,6/7/2018,2.49,7/9/2018,3.8,8/9/2018,2.35,9/10/2018,2.64,10/5/2018,2.19,11/7/2018,3.7,1/9/2019,0.15,1/22/2019,5.4,2/22/2019,5.44,3/8/2019,1.17,4/5/2019,2.88,5/9/2019,1.6,8/8/2019,3.9,7/9/2019,1.91,8/23/2019,1.17,10/7/2019,2.7,10/9/2019,2.49,11/7/2019,3.3,1/9/2020,4.07,1/8/2020,2.51,2/28/2020,0.69,4/13/2020,0.02,6/4/2020,16.12,6/15/2020,7.86,6/23/2020,5,7/15/2020,6.1,9/14/2020,6.82
,1/13/2015,1.13,3/6/2015,1.96,4/15/2015,0.29,4/21/2015,2.19,6/3/2015,1.12,7/1/2015,0.51,7/24/2015,0.71,9/9/2015,0.58,10/5/2015,2.6,11/5/2015,6.1,11/18/2015,1.5,12/31/2015,0.42,1/11/2016,0.65,,,4/11/2016,2.63,4/15/2016,1.95,6/1/2016,0.88,6/29/2016,1.2,7/12/2016,2.76,8/25/2016,2.36,9/26/2016,1.06,10/10/2016,1.21,11/10/2016,5.3,12/30/2016,1.6,1/11/2017,2.17,3/8/2017,2.9,3/27/2017,0.61,4/11/2017,2.25,5/31/2017,1.93,7/27/2017,1.68,7/19/2017,2.01,8/28/2017,0.87,10/20/2017,4.65,10/9/2017,1.9,11/8/2017,1.83,12/29/2017,3.5,1/9/2018,3.37,2/27/2018,1.58,3/28/2018,1.52,4/10/2018,3.7,5/8/2018,3.58,6/8/2018,2.56,7/11/2018,3.2,8/13/2018,1.73,9/12/2018,2.6,10/8/2018,2.05,11/8/2018,3.7,1/10/2019,0.2,1/24/2019,5.95,2/25/2019,5.98,3/11/2019,1.32,4/8/2019,2.47,5/10/2019,1.94,8/12/2019,2.7,7/10/2019,1.87,8/26/2019,1.06,10/8/2019,2.2,10/10/2019,2.84,11/8/2019,3.09,1/10/2020,3.71,1/9/2020,2.48,3/2/2020,0.61,4/28/2020,0.02,,,6/19/2020,7.72,6/24/2020,3.8,7/17/2020,6,9/15/2020,7.42
,1/15/2015,1,3/9/2015,2.34,4/17/2015,0.1,4/22/2015,2.18,6/4/2015,0.85,7/2/2015,0.5,7/27/2015,0.58,9/11/2015,0.51,10/7/2015,3.76,11/23/2015,6.3,11/20/2015,2.02,1/4/2016,0.2,1/12/2016,0.62,,,4/13/2016,2.95,4/18/2016,2.02,6/2/2016,0.8,6/30/2016,1.62,7/13/2016,2.82,8/26/2016,2.22,9/27/2016,1.14,10/11/2016,0.89,11/11/2016,5.1,1/3/2017,1.62,1/12/2017,2.08,3/9/2017,2.72,3/28/2017,0.77,4/13/2017,1.72,6/1/2017,2.19,7/31/2017,1.8,7/20/2017,1.88,8/29/2017,1.02,10/23/2017,4.94,10/10/2017,1.92,11/9/2017,1.38,1/3/2018,3.64,1/10/2018,3.5,2/28/2018,0.95,3/29/2018,1.88,4/11/2018,3.25,5/9/2018,4.15,6/11/2018,2.79,7/13/2018,4,8/14/2018,2.05,9/13/2018,2.77,10/9/2018,1.96,11/9/2018,3,1/11/2019,0.16,1/25/2019,6.59,3/4/2019,5.33,3/12/2019,1.09,4/9/2019,2.09,5/13/2019,1.06,8/14/2019,1.48,7/11/2019,2.07,8/27/2019,1.04,10/9/2019,2.11,10/11/2019,4,11/11/2019,2.87,1/13/2020,4.15,1/10/2020,2.12,3/3/2020,0.51,4/30/2020,0.02,,,6/24/2020,5.81,6/26/2020,3.37,7/20/2020,5.2,9/17/2020,7.5
,1/16/2015,0.92,3/17/2015,1.99,4/20/2015,0.16,4/27/2015,2.2,6/5/2015,0.84,7/6/2015,0.44,7/28/2015,0.91,9/14/2015,0.45,10/23/2015,5.65,12/17/2015,4.2,11/23/2015,1.81,1/5/2016,0.23,1/14/2016,0.65,,,4/14/2016,3.35,4/19/2016,2.26,6/3/2016,0.81,7/6/2016,1.58,7/14/2016,3.24,8/29/2016,2.39,9/28/2016,1.32,10/12/2016,0.97,11/14/2016,5.61,1/5/2017,1.7,1/13/2017,2.13,3/10/2017,2.89,3/29/2017,0.74,4/17/2017,1.94,6/2/2017,2.77,8/3/2017,1.56,7/21/2017,1.74,8/30/2017,1.2,10/25/2017,4.81,10/11/2017,1.8,11/10/2017,1.4,1/4/2018,4.48,1/11/2018,4.1,3/1/2018,0.54,4/2/2018,1.17,4/12/2018,3.95,5/10/2018,4.4,6/12/2018,2.65,7/16/2018,3.66,8/15/2018,1.66,9/14/2018,3.01,10/10/2018,1.03,11/12/2018,2.96,1/14/2019,0.11,1/29/2019,7,3/6/2019,4.71,3/13/2019,1.22,4/10/2019,2,5/14/2019,1.32,8/15/2019,1.03,7/12/2019,2.65,8/29/2019,1.67,10/10/2019,2.75,10/14/2019,3.2,11/12/2019,3.1,1/14/2020,4.42,1/13/2020,2.4,3/4/2020,0.55,5/8/2020,0.01,,,6/26/2020,5.26,6/29/2020,4.13,7/22/2020,6.25,9/18/2020,7.11
,1/20/2015,1.1,3/20/2015,2.48,4/21/2015,0.13,4/28/2015,1.9,6/8/2015,0.71,7/7/2015,0.42,7/29/2015,1.2,9/15/2015,0.42,11/12/2015,5.4,,,11/24/2015,1.71,1/6/2016,0.17,1/20/2016,0.19,,,4/15/2016,3.23,4/20/2016,2.2,6/6/2016,1.11,7/7/2016,1.88,7/19/2016,3.07,8/30/2016,2.27,9/29/2016,1.25,10/13/2016,0.98,11/17/2016,5.33,1/6/2017,1.64,1/17/2017,1.76,3/14/2017,2.41,3/30/2017,0.81,4/18/2017,1.91,6/5/2017,2.43,8/4/2017,1.9,7/24/2017,1.63,8/31/2017,1.32,10/30/2017,4.1,10/13/2017,2.12,11/13/2017,1.2,1/5/2018,4.6,1/12/2018,4.75,3/2/2018,0.45,4/3/2018,1.47,4/16/2018,3.95,5/11/2018,4.47,6/13/2018,2.41,7/18/2018,4.25,8/16/2018,2.21,9/17/2018,3.03,10/11/2018,0.69,11/13/2018,2.6,1/17/2019,0.11,1/30/2019,7.9,3/8/2019,3.45,3/15/2019,1.03,4/11/2019,2.33,5/15/2019,1.26,,,7/15/2019,2.68,8/30/2019,1.88,10/11/2019,4.14,10/15/2019,3.95,11/13/2019,2.98,1/17/2020,4.78,1/14/2020,2.55,3/5/2020,0.38,,,,,6/29/2020,6.5,6/30/2020,4.61,7/23/2020,6.1,10/7/2020,7.7
,1/21/2015,1.2,3/25/2015,1.41,4/30/2015,0.05,4/29/2015,1.68,6/9/2015,0.62,7/8/2015,0.27,7/30/2015,1.17,9/16/2015,0.66,11/13/2015,4.6,,,11/25/2015,1.65,1/11/2016,0.11,1/21/2016,0.26,,,4/18/2016,3.41,4/21/2016,2.12,6/7/2016,1.25,7/14/2016,3.8,7/21/2016,2.82,8/31/2016,2.09,9/30/2016,1.31,10/14/2016,1.08,11/21/2016,5.75,1/9/2017,1.12,1/18/2017,1.9,3/15/2017,3.05,3/31/2017,0.82,4/19/2017,2.02,6/6/2017,2,8/7/2017,2.04,7/25/2017,1.5,9/1/2017,1.38,10/31/2017,4,10/19/2017,1.74,11/14/2017,1.08,1/9/2018,5.71,1/16/2018,4.26,3/5/2018,0.57,4/4/2018,1.6,4/17/2018,4.35,5/14/2018,4.5,6/14/2018,2.08,7/19/2018,4.25,8/17/2018,2.6,9/18/2018,3.57,10/12/2018,0.6,11/14/2018,2.7,1/18/2019,0.32,1/31/2019,8.07,3/13/2019,3.95,3/18/2019,1.14,4/12/2019,2.91,5/16/2019,1.4,,,7/16/2019,3.1,9/3/2019,1.31,10/16/2019,4.06,10/16/2019,3.75,11/15/2019,3.35,1/21/2020,4.15,1/15/2020,2.45,3/6/2020,0.42,,,,,7/15/2020,9.1,7/1/2020,4.18,7/27/2020,5.15,10/13/2020,8.75
