,XLK 3/20/15 C41,,XLK 4/17/15 C40,,XLK 5/15/15 C43,,XLK 6/19/15 C41,,XLK 7/17/15 C43,,XLK 8/21/15 C43,,XLK 9/18/15 C41,,XLK 10/16/15 C42,,XLK 11/20/15 C38,,XLK 12/18/15 C39,,XLK 1/15/16 C44,,XLK 2/19/16 C44,,XLK 3/18/16 C42,,XLK 4/15/16 C41,,XLK 5/20/16 C42,,XLK 6/17/16 C44,,XLK 7/15/16 C42,,XLK 8/19/16 C44,,XLK 9/16/16 C43,,XLK 10/21/16 C46,,XLK 11/18/16 C47,,XLK 12/16/16 C47,,XLK 1/20/17 C47,,XLK 2/17/17 C46,,XLK 3/17/17 C48,,XLK 4/21/17 C50,,XLK 5/19/17 C53,,XLK 6/16/17 C53,,XLK 7/21/17 C54,,XLK 8/18/17 C56,,XLK 9/15/17 C54,,XLK 10/20/17 C57,,XLK 11/17/17 C58,,XLK 12/15/17 C59,,XLK 1/19/18 C62,,XLK 2/16/18 C63,,XLK 3/16/18 C64,,XLK 4/20/18 C68,,XLK 5/18/18 C67,,XLK 6/15/18 C63,,XLK 7/20/18 C66,,XLK 8/17/18 C71,,XLK 9/21/18 C70,,XLK 10/19/18 C71,,XLK 11/16/18 C75,,XLK 12/21/18 C75,,XLK 1/18/19 C70,,XLK 2/15/19 C69,,XLK 3/15/19 C62,,XLK 4/18/19 C66,,XLK 5/17/19 C71,,XLK 6/21/19 C75,,XLK 7/19/19 C78,,XLK 8/16/19 C70,,XLK 9/20/19 C79,,XLK 10/18/19 C80,,XLK 11/15/19 C78,,XLK 12/20/19 C79,,XLK 1/17/20 C84,,XLK 2/21/20 C86,,XLK 3/20/20 C93,,XLK 4/17/20 C96,,XLK 5/15/20 C93,,XLK 6/19/20 C76,,XLK 7/17/20 C88,,XLK 8/21/20 C97,,XLK 9/18/20 C104,,XLK 10/16/20 C113,
0,1/2/2015,1.4,2/27/2015,3.28,3/23/2015,0.7,4/1/2015,1.4,5/18/2015,1.1,6/22/2015,0.82,7/1/2015,1.75,8/25/2015,0.2,9/21/2015,3.15,10/1/2015,1.81,11/2/2015,1.08,12/21/2015,0.53,1/4/2016,1.6,2/22/2016,1.28,3/22/2016,2.35,4/4/2016,1.64,5/24/2016,1.86,6/20/2016,0.83,7/1/2016,1.51,8/22/2016,1.53,9/20/2016,1.28,10/3/2016,1.67,11/1/2016,1.36,12/27/2016,3.62,1/3/2017,1.91,2/21/2017,2.65,3/20/2017,1.2,4/3/2017,1.42,5/22/2017,2.22,6/19/2017,1.26,7/12/2017,3,8/2/2017,1.86,9/18/2017,1.95,10/2/2017,1.6,11/1/2017,2.19,12/18/2017,2.83,1/2/2018,2.11,2/12/2018,0.78,3/19/2018,2.98,4/2/2018,3.25,5/1/2018,2.35,6/1/2018,1.92,7/2/2018,2.54,8/1/2018,2.57,9/4/2018,2.39,10/1/2018,2.79,11/1/2018,3,12/27/2018,0.31,1/2/2019,3.16,2/1/2019,2.62,3/1/2019,2.33,4/1/2019,2.59,5/2/2019,2.56,7/11/2019,10.67,7/1/2019,2.83,8/1/2019,2.99,9/25/2019,4.2,10/1/2019,3.95,11/14/2019,3.8,12/3/2019,3,1/2/2020,3.2,2/24/2020,3.4,3/24/2020,0.3,4/1/2020,7.13,5/26/2020,10.36,6/22/2020,9.66,7/1/2020,6.05,8/21/2020,7.61
,1/5/2015,1.17,3/2/2015,3.4,3/24/2015,0.64,4/2/2015,1.4,5/19/2015,1.15,6/23/2015,0.87,7/2/2015,1.72,8/26/2015,0.36,10/15/2015,3.8,10/2/2015,1.82,11/3/2015,1.15,12/22/2015,0.65,1/5/2016,1.56,2/23/2016,0.95,3/24/2016,2.05,4/5/2016,1.36,6/1/2016,2.29,6/22/2016,0.9,7/5/2016,1.31,8/23/2016,1.72,9/21/2016,1.45,10/4/2016,1.62,11/2/2016,1.25,1/10/2017,3.6,1/4/2017,1.9,2/23/2017,2.71,3/21/2017,1.05,4/4/2017,1.31,5/24/2017,2.29,7/12/2017,1.2,7/13/2017,3.05,8/3/2017,1.76,9/20/2017,1.63,10/4/2017,1.53,11/2/2017,2.17,12/19/2017,2.67,1/3/2018,2.48,2/13/2018,0.7,3/20/2018,2.98,4/3/2018,3.8,5/2/2018,2.38,6/4/2018,2.23,7/3/2018,2.22,8/2/2018,2.74,9/5/2018,2.02,10/2/2018,2.95,11/2/2018,2.18,12/28/2018,0.23,1/3/2019,1.66,2/5/2019,3.8,3/4/2019,2.02,4/2/2019,2.64,5/3/2019,2.75,7/31/2019,12.37,7/2/2019,2.84,8/2/2019,2.36,10/1/2019,3.9,10/2/2019,2.95,11/15/2019,4.5,12/4/2019,3.35,1/3/2020,2.83,2/25/2020,2.15,3/25/2020,1.68,4/2/2020,7.7,5/27/2020,9.82,6/25/2020,8.75,7/2/2020,6.17,8/24/2020,8.53
,1/6/2015,0.9,3/4/2015,2.92,3/25/2015,0.36,4/6/2015,1.68,5/20/2015,1.18,6/24/2015,0.79,7/6/2015,1.5,8/27/2015,0.58,11/19/2015,5.8,10/8/2015,2.91,11/4/2015,1.3,12/23/2015,0.74,1/6/2016,1.27,2/24/2016,1.04,3/28/2016,2.13,4/6/2016,1.42,6/10/2016,2.08,6/23/2016,0.99,7/6/2016,1.44,8/24/2016,1.57,9/22/2016,1.68,10/5/2016,1.68,11/3/2016,1.05,1/24/2017,4,1/5/2017,1.95,2/28/2017,2.68,3/22/2017,1.04,4/5/2017,1.43,5/25/2017,2.57,7/13/2017,1.22,7/14/2017,3.4,8/4/2017,1.82,9/21/2017,1.67,10/5/2017,1.97,11/3/2017,2.44,12/21/2017,2.5,1/4/2018,2.72,2/14/2018,0.9,3/22/2018,1.99,4/4/2018,3.7,5/3/2018,2.57,6/5/2018,2.44,7/5/2018,2.55,8/3/2018,2.85,9/6/2018,1.7,10/3/2018,3.05,11/5/2018,2.1,12/31/2018,0.22,1/4/2019,2.74,2/6/2019,3.65,3/5/2019,2.03,4/3/2019,2.98,5/6/2019,2.63,8/5/2019,6.1,7/3/2019,3.18,8/5/2019,1.28,10/2/2019,2.82,10/3/2019,3.21,11/19/2019,4.8,12/5/2019,3.4,1/6/2020,2.59,2/26/2020,2.27,3/26/2020,1.3,4/3/2020,7.07,5/29/2020,10.37,6/26/2020,9.15,7/6/2020,7.35,8/26/2020,10.83
,1/7/2015,0.96,3/9/2015,2.61,3/26/2015,0.31,4/10/2015,1.73,5/21/2015,1.18,6/25/2015,0.77,7/7/2015,1.59,8/28/2015,0.65,,,10/9/2015,2.98,11/5/2015,1.27,12/28/2015,0.68,1/7/2016,0.9,2/25/2016,1.24,3/29/2016,2.54,4/7/2016,1.31,6/14/2016,1.72,6/24/2016,0.5,7/7/2016,1.44,8/25/2016,1.6,9/23/2016,1.5,10/7/2016,1.57,11/4/2016,1,,,1/6/2017,2.2,3/1/2017,3.19,3/23/2017,0.95,4/6/2017,1.25,5/26/2017,2.68,7/14/2017,1.48,7/17/2017,3.45,8/7/2017,1.86,9/22/2017,1.64,10/6/2017,1.99,11/6/2017,2.53,12/26/2017,2.12,1/5/2018,3.25,2/15/2018,1.68,3/23/2018,1.3,4/5/2018,4.5,5/4/2018,3.11,6/6/2018,2.6,7/6/2018,2.96,8/6/2018,3.4,9/7/2018,1.65,10/4/2018,2.48,11/6/2018,2.2,1/3/2019,0.08,1/7/2019,2.95,2/7/2019,3.27,3/6/2019,1.92,4/4/2019,2.82,5/7/2019,1.92,,,7/5/2019,3.14,8/6/2019,1.67,10/3/2019,3.09,10/4/2019,4.05,11/20/2019,4.12,12/9/2019,3.7,1/7/2020,2.78,2/27/2020,1.44,3/27/2020,1.47,4/6/2020,10,6/1/2020,11.18,6/29/2020,7.87,7/7/2020,7.58,8/27/2020,11.44
,1/8/2015,1.45,3/10/2015,2.05,3/27/2015,0.25,4/13/2015,1.86,5/22/2015,1.12,6/26/2015,0.69,7/8/2015,1.31,8/31/2015,0.51,,,10/15/2015,3.13,11/6/2015,1.3,12/29/2015,0.95,1/8/2016,0.72,2/26/2016,1.31,4/1/2016,2.58,4/8/2016,1.35,6/15/2016,1.85,6/27/2016,0.24,7/8/2016,1.81,8/26/2016,1.77,9/28/2016,1.48,10/10/2016,1.8,11/7/2016,1.35,,,1/9/2017,2.13,3/2/2017,2.98,3/24/2017,1.05,4/10/2017,1.18,5/30/2017,2.87,7/17/2017,1.52,7/18/2017,3.46,8/8/2017,1.96,9/25/2017,1.21,10/9/2017,2.19,11/7/2017,2.55,12/27/2017,2.1,1/8/2018,3.41,2/16/2018,1.58,3/26/2018,2.14,4/6/2018,3.85,5/7/2018,3.5,6/7/2018,2.3,7/9/2018,3.22,8/8/2018,3.59,9/10/2018,1.56,10/5/2018,1.82,11/7/2018,3.2,1/4/2019,0.1,1/8/2019,3.15,2/8/2019,3.14,3/7/2019,1.71,4/5/2019,3.01,5/8/2019,2.03,,,7/8/2019,2.76,8/7/2019,1.84,10/4/2019,3.8,10/7/2019,4.2,11/26/2019,4.89,12/10/2019,3.9,1/8/2020,3.19,2/28/2020,1.23,3/30/2020,1.31,4/7/2020,12.47,6/3/2020,12.36,6/30/2020,9.24,7/9/2020,7.79,8/31/2020,13.05
,1/9/2015,1.35,3/11/2015,1.94,3/30/2015,0.35,4/15/2015,1.8,5/26/2015,0.81,6/29/2015,0.38,7/9/2015,1.37,9/1/2015,0.34,,,10/19/2015,3.3,11/9/2015,1.05,12/30/2015,0.86,1/11/2016,0.66,2/29/2016,1.25,4/4/2016,2.92,4/11/2016,1.14,6/16/2016,1.8,6/28/2016,0.33,7/11/2016,2.02,8/30/2016,1.5,9/29/2016,1.45,10/11/2016,1.51,11/8/2016,1.49,,,1/10/2017,2.25,3/3/2017,2.79,3/27/2017,0.96,4/11/2017,1.05,5/31/2017,2.75,7/18/2017,1.58,7/19/2017,3.55,8/9/2017,1.87,9/26/2017,1.32,10/10/2017,2.08,11/8/2017,2.78,12/28/2017,2.25,1/9/2018,3.38,2/20/2018,1.43,3/27/2018,1.25,4/9/2018,4.35,5/8/2018,3.52,6/8/2018,2.22,7/10/2018,3.4,8/9/2018,3.75,9/11/2018,1.78,10/8/2018,1.32,11/8/2018,3,1/7/2019,0.12,1/9/2019,3.72,2/11/2019,3.45,3/8/2019,1.57,4/8/2019,3.15,5/9/2019,1.6,,,7/9/2019,2.93,8/8/2019,2.5,10/8/2019,3.15,10/8/2019,3.65,11/27/2019,4.85,12/12/2019,4.59,1/9/2020,3.7,3/2/2020,1.89,3/31/2020,1,4/8/2020,11.99,6/10/2020,16.65,7/9/2020,11.43,7/10/2020,7.95,9/2/2020,16
,1/12/2015,1.05,3/13/2015,1.65,3/31/2015,0.32,4/16/2015,1.68,5/27/2015,1.23,6/30/2015,0.44,7/10/2015,1.5,9/2/2015,0.38,,,10/22/2015,3.45,11/10/2015,0.9,12/31/2015,0.66,1/12/2016,0.74,3/1/2016,1.12,4/5/2016,2.65,4/12/2016,1.13,6/17/2016,1.53,6/29/2016,0.45,7/12/2016,2.27,8/31/2016,1.44,10/3/2016,1.37,10/12/2016,1.52,11/9/2016,1.32,,,1/11/2017,2.04,3/6/2017,2.78,3/28/2017,1.14,4/12/2017,0.96,6/1/2017,2.8,7/19/2017,1.84,7/20/2017,3.84,8/10/2017,1.73,9/27/2017,1.73,10/11/2017,2.25,11/9/2017,2.41,12/29/2017,1.94,1/10/2018,3.05,2/21/2018,1.56,3/28/2018,1.27,4/10/2018,4.55,5/9/2018,4.02,6/11/2018,2.36,7/11/2018,3.2,8/13/2018,3.32,9/12/2018,1.56,10/9/2018,1.45,11/9/2018,2.51,1/8/2019,0.15,1/10/2019,3.5,2/12/2019,4.05,3/11/2019,2.3,4/9/2019,3.1,5/13/2019,0.66,,,7/10/2019,3.15,8/9/2019,2.17,10/9/2019,3.55,10/9/2019,3.75,12/2/2019,3.9,12/13/2019,4.9,1/10/2020,3.83,3/3/2020,1.48,4/1/2020,0.37,4/13/2020,11.5,6/11/2020,11.8,7/10/2020,12.02,7/13/2020,9.02,9/3/2020,10.29
,1/13/2015,1.1,3/17/2015,2.21,4/7/2015,0.32,4/17/2015,1.36,5/28/2015,1.23,7/1/2015,0.36,7/13/2015,1.78,9/3/2015,0.41,,,11/3/2015,5.3,11/11/2015,0.96,1/4/2016,0.31,1/13/2016,0.6,3/3/2016,1.58,4/7/2016,2.32,4/13/2016,1.44,6/20/2016,1.79,6/30/2016,0.6,7/14/2016,2.51,9/1/2016,1.59,10/4/2016,1.2,10/13/2016,1.39,11/10/2016,0.98,,,1/12/2017,2.18,3/8/2017,2.98,3/29/2017,1.13,4/13/2017,0.91,6/5/2017,3.33,7/20/2017,1.92,7/21/2017,3.87,8/11/2017,1.72,9/28/2017,1.66,10/12/2017,2.21,11/10/2017,2.5,1/2/2018,2.37,1/11/2018,3.3,2/22/2018,1.23,3/29/2018,1.68,4/12/2018,4.75,5/10/2018,4.67,6/12/2018,2.44,7/12/2018,3.9,8/15/2018,2.98,9/13/2018,1.92,10/10/2018,0.66,11/12/2018,1.37,1/9/2019,0.2,1/11/2019,3.46,2/13/2019,4.35,3/12/2019,2.6,4/10/2019,3.15,5/14/2019,0.9,,,7/11/2019,3.65,8/12/2019,1.87,10/11/2019,4.45,10/10/2019,3.96,12/3/2019,3.3,12/16/2019,5.54,1/13/2020,4.53,3/4/2020,2.45,4/2/2020,0.33,4/14/2020,14.4,6/12/2020,12.67,7/13/2020,11.33,7/14/2020,6.4,9/4/2020,7.95
,1/14/2015,0.91,3/18/2015,2.55,4/8/2015,0.24,4/20/2015,1.62,5/29/2015,1.07,7/6/2015,0.35,7/14/2015,1.91,9/4/2015,0.25,,,11/19/2015,4.56,11/12/2015,0.78,1/5/2016,0.31,1/14/2016,0.69,3/7/2016,1.58,4/8/2016,2.33,4/14/2016,1.5,6/22/2016,1.95,7/1/2016,0.67,7/15/2016,2.42,9/8/2016,1.56,10/5/2016,1.41,10/14/2016,1.51,11/11/2016,1.08,,,1/13/2017,2.31,3/9/2017,2.73,3/30/2017,1.16,4/17/2017,0.99,6/6/2017,3.41,7/21/2017,1.82,7/24/2017,4,8/14/2017,2.09,9/29/2017,1.88,10/13/2017,2.17,11/13/2017,2.46,1/3/2018,2.83,1/12/2018,3.65,2/23/2018,1.83,4/2/2018,0.91,4/13/2018,4.6,5/11/2018,4.65,6/13/2018,2.32,7/13/2018,3.93,8/21/2018,3.25,9/14/2018,1.87,10/11/2018,0.44,11/13/2018,1.45,1/10/2019,0.2,1/14/2019,3.12,2/14/2019,4.26,3/13/2019,2.92,4/11/2019,3.1,5/15/2019,1.02,,,7/12/2019,3.81,8/13/2019,2.56,10/14/2019,4.7,10/11/2019,5.04,12/4/2019,3.75,12/19/2019,5.62,1/14/2020,4.22,3/5/2020,1.93,4/3/2020,0.29,4/17/2020,14.41,6/17/2020,15.4,7/20/2020,12.1,7/15/2020,8.28,9/8/2020,5.55
,1/15/2015,0.9,3/20/2015,2.74,4/9/2015,0.28,4/21/2015,1.7,6/1/2015,1.05,7/7/2015,0.34,7/15/2015,1.9,9/8/2015,0.37,,,12/1/2015,5.25,11/13/2015,0.54,1/6/2016,0.22,1/19/2016,0.35,3/8/2016,1.46,4/11/2016,2.42,4/15/2016,1.33,6/23/2016,2.05,7/5/2016,0.51,7/18/2016,2.66,9/9/2016,1.15,10/6/2016,1.43,10/17/2016,1.36,11/14/2016,0.71,,,1/18/2017,2.17,3/10/2017,3.1,3/31/2017,1.16,4/18/2017,1,6/7/2017,3.45,7/24/2017,1.94,7/25/2017,3.91,8/15/2017,2.14,10/2/2017,1.91,10/16/2017,2.47,11/14/2017,2.36,1/4/2018,3.2,1/16/2018,3.4,2/26/2018,2.49,4/3/2018,1.07,4/17/2018,5.9,5/14/2018,4.7,6/14/2018,2.51,7/16/2018,3.59,8/22/2018,3.3,9/17/2018,1.49,10/12/2018,0.76,11/14/2018,1.15,1/11/2019,0.15,1/15/2019,3.7,2/19/2019,4.51,3/14/2019,2.88,4/12/2019,3.43,5/16/2019,1.31,,,7/15/2019,3.94,8/14/2019,1.74,10/15/2019,5.23,10/14/2019,4.35,12/5/2019,3.9,12/20/2019,6.12,1/15/2020,4.1,3/6/2020,1.39,4/6/2020,0.8,4/20/2020,15.05,6/18/2020,14.99,7/21/2020,12.6,7/16/2020,6.65,9/9/2020,6.95
