,XLV 3/20/15 C68,,XLV 4/17/15 C69,,XLV 5/15/15 C72,,XLV 6/19/15 C71,,XLV 7/17/15 C72,,XLV 8/21/15 C75,,XLV 9/18/15 C75,,XLV 10/16/15 C76,,XLV 11/20/15 C68,,XLV 12/18/15 C66,,XLV 1/15/16 C72,,XLV 2/19/16 C72,,XLV 3/18/16 C70,,XLV 4/15/16 C66,,XLV 5/20/16 C67,,XLV 6/17/16 C68,,XLV 7/15/16 C70,,XLV 8/19/16 C71,,XLV 9/16/16 C72,,XLV 10/21/16 C75,,XLV 11/18/16 C72,,XLV 12/16/16 C72,,XLV 1/20/17 C67,,XLV 2/17/17 C68,,XLV 3/17/17 C69,,XLV 4/21/17 C71,,XLV 5/19/17 C75,,XLV 6/16/17 C74,,XLV 7/21/17 C75,,XLV 8/18/17 C76,,XLV 9/15/17 C79,,XLV 10/20/17 C79,,XLV 11/17/17 C81,,XLV 12/15/17 C82,,XLV 1/19/18 C81,,XLV 2/16/18 C83,,XLV 3/16/18 C83,,XLV 4/20/18 C88,,XLV 5/18/18 C82,,XLV 6/15/18 C79,,XLV 7/20/18 C82,,XLV 8/17/18 C83,,XLV 9/21/18 C83,,XLV 10/19/18 C88,,XLV 11/16/18 C92,,XLV 12/21/18 C95,,XLV 1/18/19 C89,,XLV 2/15/19 C95,,XLV 3/15/19 C85,,XLV 4/18/19 C90,,XLV 5/17/19 C92,,XLV 6/21/19 C91,,XLV 7/19/19 C89,,XLV 8/16/19 C87,,XLV 9/20/19 C93,,XLV 10/18/19 C91,,XLV 11/15/19 C90,,XLV 12/20/19 C89,,XLV 1/17/20 C94,,XLV 2/21/20 C99,,XLV 3/20/20 C102,,XLV 4/17/20 C100,,XLV 5/15/20 C96,,XLV 6/19/20 C85,,XLV 7/17/20 C97,,XLV 8/21/20 C101,,XLV 9/18/20 C100,,XLV 10/16/20 C106,
0,1/2/2015,2.69,2/24/2015,3.75,3/24/2015,3.3,4/1/2015,2.8,5/18/2015,3.4,6/22/2015,2.61,7/1/2015,2.17,8/27/2015,0.57,9/21/2015,4.5,10/1/2015,3.05,11/23/2015,1.41,12/21/2015,1.53,1/4/2016,2.7,2/23/2016,2.18,3/18/2016,1.84,4/1/2016,2.24,5/23/2016,1.28,6/20/2016,1.77,7/1/2016,2.05,8/12/2016,1.36,9/19/2016,1.69,10/3/2016,1.87,11/1/2016,2.37,12/19/2016,2.68,1/3/2017,2.41,2/21/2017,3.3,3/20/2017,1.73,4/3/2017,2.08,5/22/2017,1.44,6/19/2017,2.93,7/12/2017,2.05,8/21/2017,1.07,9/19/2017,2.18,10/2/2017,2,11/1/2017,2.11,12/18/2017,2.12,1/2/2018,2.08,2/9/2018,0.64,3/20/2018,3.48,4/2/2018,2.98,5/21/2018,2.81,6/1/2018,2,7/2/2018,2.7,8/1/2018,2.87,9/4/2018,2.16,10/1/2018,2.69,11/1/2018,3.55,12/28/2018,0.32,1/2/2019,3.65,2/1/2019,2.88,3/1/2019,2.87,4/1/2019,3.1,5/20/2019,1.93,7/16/2019,5.75,7/1/2019,2.55,8/19/2019,2.61,9/26/2019,2.07,10/1/2019,3.4,1/6/2020,7.04,1/7/2020,3.74,1/3/2020,2.58,2/3/2020,2.92,3/3/2020,3.65,#N/A N/A,,5/1/2020,5.05,6/19/2020,3.65,7/1/2020,4.65,8/4/2020,3.63
,1/5/2015,2.5,2/25/2015,3.85,3/26/2015,2.3,4/6/2015,2.9,5/28/2015,3.57,6/23/2015,2.64,7/2/2015,2.12,8/31/2015,0.35,9/22/2015,3.3,10/14/2015,3.5,11/24/2015,1.37,12/22/2015,1.61,1/5/2016,3.15,2/24/2016,2.09,3/21/2016,1.98,4/4/2016,2.75,5/24/2016,1.32,6/21/2016,1.51,7/5/2016,2.01,8/15/2016,1.53,9/20/2016,1.87,10/4/2016,1.81,11/2/2016,2.12,12/20/2016,2.48,1/4/2017,2.72,2/22/2017,3.45,3/21/2017,1.38,4/4/2017,1.8,5/23/2017,1.52,7/12/2017,3.95,7/13/2017,1.97,8/22/2017,1.52,9/21/2017,1.88,10/3/2017,2.11,11/2/2017,1.82,12/19/2017,2.03,1/3/2018,2.68,2/12/2018,0.75,3/22/2018,2.43,4/3/2018,3.4,5/22/2018,2.5,6/4/2018,2.38,7/3/2018,3.18,8/2/2018,2.86,9/5/2018,2.24,10/2/2018,2.76,11/2/2018,2.98,12/31/2018,0.28,1/3/2019,2.87,2/4/2019,2.4,3/4/2019,2.15,4/2/2019,3.05,5/21/2019,2.25,7/19/2019,5.25,7/2/2019,2.5,8/20/2019,2.24,9/27/2019,1.77,10/2/2019,2.52,1/17/2020,10.57,1/13/2020,4.1,1/6/2020,2.61,2/4/2020,3.95,3/4/2020,5.17,,,5/4/2020,5.25,6/22/2020,3.36,7/6/2020,5.55,8/5/2020,3.9
,1/6/2015,2.52,2/26/2015,4.03,3/27/2015,2.54,4/7/2015,3.15,6/5/2015,2.74,6/25/2015,2.51,7/6/2015,2.02,9/1/2015,0.19,9/25/2015,1.99,10/16/2015,4.43,11/25/2015,1.55,12/23/2015,2.2,1/6/2016,2.58,2/26/2016,2.54,3/22/2016,2.17,4/5/2016,2.32,5/25/2016,1.85,6/22/2016,1.68,7/6/2016,2.55,8/16/2016,1.22,9/21/2016,2.15,10/5/2016,1.93,11/3/2016,1.8,12/21/2016,2.16,1/5/2017,2.89,2/24/2017,3.83,3/22/2017,1.34,4/5/2017,1.82,5/24/2017,1.61,7/19/2017,4.51,7/14/2017,2.23,8/23/2017,1.26,9/22/2017,1.68,10/4/2017,2.25,11/3/2017,2.03,12/22/2017,1.44,1/4/2018,2.63,2/13/2018,0.65,3/23/2018,1.44,4/6/2018,3.3,5/23/2018,2.32,6/5/2018,2.26,7/5/2018,3.2,8/3/2018,3.2,9/6/2018,2.37,10/3/2018,2.58,11/5/2018,3.5,1/2/2019,0.15,1/4/2019,4.2,2/5/2019,2.69,3/5/2019,2.32,4/3/2019,2.8,5/22/2019,2.55,7/22/2019,5.25,7/3/2019,3.25,8/21/2019,2.39,9/30/2019,2.47,10/3/2019,2.53,,,1/15/2020,5.51,1/7/2020,2.69,2/5/2020,5,3/5/2020,5.38,,,5/6/2020,5.93,6/23/2020,3.43,7/7/2020,5.55,8/6/2020,3.12
,1/7/2015,3.26,2/27/2015,3.75,3/30/2015,2.8,4/8/2015,3.2,6/8/2015,2.88,6/26/2015,2.51,7/7/2015,2.13,9/2/2015,0.21,9/28/2015,1.33,10/21/2015,3.73,11/27/2015,1.62,12/24/2015,2.29,1/7/2016,2.09,2/29/2016,1.85,3/23/2016,2.01,4/6/2016,3.4,5/26/2016,1.87,6/23/2016,1.83,7/7/2016,2.42,8/17/2016,1.17,9/22/2016,2.37,10/6/2016,1.68,11/4/2016,2.06,12/22/2016,2.17,1/6/2017,3.1,2/27/2017,4.11,3/23/2017,1.29,4/6/2017,1.8,5/25/2017,1.84,7/27/2017,3.95,7/18/2017,1.9,8/24/2017,1.31,9/25/2017,1.59,10/5/2017,2.13,11/6/2017,1.95,12/26/2017,1.45,1/8/2018,2.8,2/15/2018,0.78,3/26/2018,1.92,4/9/2018,4.1,5/24/2018,2.27,6/6/2018,2.78,7/6/2018,4.45,8/6/2018,3.33,9/10/2018,2.2,10/4/2018,2.06,11/6/2018,3.8,1/3/2019,0.1,1/7/2019,4,2/6/2019,2.45,3/6/2019,1.58,4/4/2019,2.6,5/23/2019,2.22,7/23/2019,5.35,7/5/2019,2.98,8/22/2019,2.25,10/1/2019,1.86,10/4/2019,3.4,,,1/27/2020,3.8,1/8/2020,2.8,2/6/2020,5.1,3/6/2020,5.3,,,5/11/2020,6.25,6/24/2020,2.28,7/8/2020,4.8,8/7/2020,3.45
,1/8/2015,4.15,3/3/2015,3.5,3/31/2015,2.3,4/9/2015,3.65,6/10/2015,2.67,6/29/2015,1.67,7/8/2015,1.68,9/4/2015,0.13,9/29/2015,1.2,11/9/2015,5.53,11/30/2015,1.13,12/28/2015,1.96,1/8/2016,1.61,3/1/2016,2.5,3/24/2016,1.94,4/7/2016,3.07,5/27/2016,1.9,6/24/2016,1.47,7/8/2016,2.84,8/18/2016,1.12,9/23/2016,2.35,10/7/2016,1.74,11/7/2016,2.73,12/23/2016,2.48,1/9/2017,3.3,2/28/2017,4.2,3/24/2017,1.13,4/7/2017,1.84,5/26/2017,1.65,8/2/2017,3.6,7/19/2017,2.33,8/25/2017,1.29,9/26/2017,1.62,10/6/2017,2.19,11/7/2017,1.89,12/27/2017,1.48,1/9/2018,3.76,2/16/2018,1.15,3/27/2018,1.89,4/12/2018,4.67,5/25/2018,2.11,6/7/2018,2.78,7/9/2018,4.95,8/7/2018,3.35,9/12/2018,2.23,10/5/2018,2.15,11/7/2018,5.4,1/4/2019,0.14,1/8/2019,4.25,2/7/2019,2.22,3/7/2019,1.3,4/5/2019,2.96,5/24/2019,2.46,7/24/2019,4.95,7/8/2019,2.34,8/23/2019,1.43,10/2/2019,1.36,10/8/2019,2.7,,,1/28/2020,4.05,1/9/2020,3.15,2/7/2020,4.66,3/10/2020,4.85,,,5/12/2020,6.25,6/26/2020,2.32,7/10/2020,4.5,8/10/2020,3.6
,1/9/2015,3.7,3/4/2015,3.2,4/1/2015,1.45,4/10/2015,3.95,6/12/2015,3.25,6/30/2015,1.63,7/9/2015,1.8,9/10/2015,0.14,9/30/2015,1.77,11/13/2015,4.4,12/1/2015,1.39,12/29/2015,2.35,1/11/2016,1.03,3/2/2016,2.5,3/28/2016,1.86,4/8/2016,2.71,5/31/2016,1.94,6/27/2016,0.79,7/11/2016,2.79,8/22/2016,1.09,9/26/2016,1.76,10/10/2016,1.89,11/8/2016,3.05,12/27/2016,2.8,1/10/2017,3.6,3/2/2017,4.88,3/27/2017,1.17,4/10/2017,1.97,5/30/2017,1.55,8/3/2017,3.7,7/20/2017,2.83,8/28/2017,1.47,9/27/2017,1.53,10/9/2017,1.83,11/8/2017,2.14,12/28/2017,1.46,1/10/2018,3.49,2/20/2018,0.73,3/28/2018,1.95,4/17/2018,5,5/29/2018,1.75,6/8/2018,3.15,7/10/2018,5.03,8/8/2018,3.27,9/13/2018,2.9,10/8/2018,2.12,11/8/2018,5.55,1/7/2019,0.12,1/9/2019,4.84,2/8/2019,2.14,3/11/2019,1.4,4/8/2019,2.82,5/28/2019,1.94,7/31/2019,5.3,7/9/2019,2.49,8/26/2019,1.62,10/3/2019,1.43,10/9/2019,2.77,,,1/30/2020,2.66,1/10/2020,3,2/10/2020,4.55,3/12/2020,2.46,,,5/13/2020,5.15,6/29/2020,2.24,7/13/2020,5.3,8/11/2020,3.2
,1/12/2015,3.66,3/5/2015,4.1,4/2/2015,1.62,4/13/2015,4.1,6/15/2015,2.6,7/1/2015,1.83,7/10/2015,2.25,9/11/2015,0.12,10/1/2015,1.75,11/16/2015,4.4,12/2/2015,1.19,12/30/2015,2.35,1/12/2016,1.37,3/3/2016,2.38,3/29/2016,2.2,4/11/2016,2.5,6/1/2016,2.25,6/28/2016,0.99,7/12/2016,2.88,8/23/2016,1.11,9/27/2016,1.73,10/11/2016,1.02,11/9/2016,4.7,12/28/2016,2.33,1/11/2017,2.96,3/3/2017,4.94,3/28/2017,1.19,4/11/2017,1.64,5/31/2017,1.71,8/8/2017,3.44,7/21/2017,2.66,8/29/2017,1.58,9/28/2017,1.5,10/10/2017,1.9,11/9/2017,1.95,12/29/2017,1.32,1/11/2018,3.81,2/21/2018,0.7,3/29/2018,2.09,4/24/2018,3.9,5/30/2018,2.5,6/11/2018,3.42,7/11/2018,4.5,8/10/2018,3.1,9/14/2018,2.69,10/9/2018,2.14,11/9/2018,5.3,1/8/2019,0.1,1/10/2019,4.55,2/11/2019,2.15,3/12/2019,1.65,4/9/2019,2.81,5/29/2019,1.31,8/1/2019,4.4,7/10/2019,2.64,8/27/2019,1.87,10/4/2019,2.08,10/10/2019,2.97,,,1/31/2020,1.86,1/13/2020,2.77,2/12/2020,5.66,3/13/2020,2.77,,,5/14/2020,5.7,6/30/2020,2.52,7/14/2020,6.3,8/12/2020,4.22
,1/13/2015,3.6,3/6/2015,3.17,4/6/2015,1.63,4/14/2015,3.65,6/16/2015,2.95,7/2/2015,1.69,7/13/2015,2.37,9/14/2015,0.12,10/2/2015,2.5,11/17/2015,5.13,12/3/2015,0.81,12/31/2015,2.03,1/13/2016,0.9,3/4/2016,2.35,3/30/2016,2.09,4/12/2016,2.8,6/2/2016,2.8,6/29/2016,1.7,7/13/2016,2.93,8/24/2016,0.7,9/28/2016,1.79,10/12/2016,0.9,11/10/2016,5.46,12/29/2016,2.31,1/12/2017,2.92,3/6/2017,4.85,3/29/2017,1.03,4/12/2017,1.73,6/1/2017,2.25,8/11/2017,2.05,7/24/2017,2.7,8/30/2017,1.77,9/29/2017,1.73,10/11/2017,2.08,11/10/2017,1.75,1/2/2018,1.65,1/16/2018,4.95,2/22/2018,0.51,4/2/2018,1.28,4/25/2018,4,5/31/2018,1.92,6/13/2018,3.2,7/12/2018,5.16,8/14/2018,3.25,9/17/2018,2.49,10/10/2018,1.67,11/12/2018,4.5,1/9/2019,0.15,1/11/2019,4.6,2/12/2019,2.83,3/13/2019,2.05,4/10/2019,2.91,5/30/2019,1.51,8/5/2019,2.79,7/11/2019,2.51,8/28/2019,1.7,10/7/2019,1.99,10/11/2019,3.5,,,2/3/2020,2.56,1/14/2020,2.73,2/18/2020,4.55,3/16/2020,1.95,,,5/15/2020,5.6,7/1/2020,3.2,7/15/2020,7.03,8/20/2020,3.4
,1/14/2015,3.25,3/9/2015,2.88,4/7/2015,1.67,4/15/2015,3.98,6/17/2015,3.26,7/6/2015,1.59,7/14/2015,2.89,9/15/2015,0.15,10/5/2015,2.4,11/23/2015,5.75,12/4/2015,1.32,1/4/2016,1.28,1/14/2016,1.39,3/7/2016,2.6,3/31/2016,2.1,4/13/2016,3,6/6/2016,3,6/30/2016,1.98,7/14/2016,3.07,8/25/2016,0.53,9/29/2016,1.3,10/13/2016,0.93,11/11/2016,4.6,12/30/2016,2.28,1/13/2017,2.88,3/7/2017,4.33,3/30/2017,1,4/13/2017,1.66,6/2/2017,2.66,8/15/2017,3.37,7/25/2017,2.34,8/31/2017,2.5,10/2/2017,2.28,10/12/2017,1.9,11/14/2017,1.53,1/3/2018,2.23,1/17/2018,5.8,2/23/2018,0.52,4/3/2018,1.4,4/27/2018,5.13,6/4/2018,2.59,6/14/2018,3.37,7/13/2018,5.35,8/16/2018,3.76,9/18/2018,2.91,10/11/2018,0.92,11/13/2018,3.95,1/11/2019,0.05,1/14/2019,3.9,2/13/2019,2.84,3/14/2019,1.94,4/11/2019,2.06,5/31/2019,1.31,8/6/2019,3.05,7/12/2019,2,8/29/2019,1.86,10/8/2019,1.38,10/14/2019,3.14,,,2/4/2020,3.6,1/15/2020,3.75,2/19/2020,5.15,3/17/2020,2.27,,,5/18/2020,6.7,7/2/2020,3.68,7/16/2020,6.94,8/21/2020,3.29
,1/15/2015,2.89,3/11/2015,2.58,4/8/2015,1.93,4/16/2015,3.85,6/18/2015,3.34,7/7/2015,1.67,7/15/2015,2.82,9/17/2015,0.16,10/6/2015,1.69,11/25/2015,6,12/7/2015,1.03,1/5/2016,1.4,1/19/2016,1,3/8/2016,2.19,4/1/2016,2.5,4/14/2016,3.15,6/8/2016,2.7,7/1/2016,2.23,7/15/2016,2.97,8/26/2016,0.56,9/30/2016,1.69,10/14/2016,0.79,11/14/2016,4.3,1/3/2017,2.64,1/17/2017,2.63,3/8/2017,4.25,3/31/2017,0.91,4/17/2017,1.6,6/5/2017,2.5,8/17/2017,2.55,7/26/2017,2.07,9/1/2017,2.58,10/3/2017,2.25,10/13/2017,1.92,11/15/2017,1.48,1/4/2018,2.31,1/18/2018,5.5,2/26/2018,1.08,4/4/2018,2.16,5/3/2018,2.25,6/5/2018,2.49,6/15/2018,3.4,7/19/2018,4.85,8/20/2018,4.25,9/19/2018,2.71,10/12/2018,1.09,11/14/2018,3.8,1/14/2019,0.02,1/15/2019,4.7,2/14/2019,3.25,3/15/2019,2.15,4/12/2019,1.64,6/3/2019,1.36,8/7/2019,2.93,7/15/2019,2.09,8/30/2019,1.82,10/9/2019,1.4,10/15/2019,4,,,2/6/2020,5.05,1/16/2020,4,2/20/2020,4.5,3/18/2020,1.95,,,5/19/2020,5.76,7/6/2020,4.22,7/17/2020,8.03,8/24/2020,2.81
