,XLV 3/20/15 P68,,XLV 4/17/15 P69,,XLV 5/15/15 P72,,XLV 6/19/15 P71,,XLV 7/17/15 P72,,XLV 8/21/15 P75,,XLV 9/18/15 P75,,XLV 10/16/15 P76,,XLV 11/20/15 P68,,XLV 12/18/15 P66,,XLV 1/15/16 P72,,XLV 2/19/16 P72,,XLV 3/18/16 P70,,XLV 4/15/16 P66,,XLV 5/20/16 P67,,XLV 6/17/16 P68,,XLV 7/15/16 P70,,XLV 8/19/16 P71,,XLV 9/16/16 P72,,XLV 10/21/16 P75,,XLV 11/18/16 P72,,XLV 12/16/16 P72,,XLV 1/20/17 P67,,XLV 2/17/17 P68,,XLV 3/17/17 P69,,XLV 4/21/17 P71,,XLV 5/19/17 P75,,XLV 6/16/17 P74,,XLV 7/21/17 P75,,XLV 8/18/17 P76,,XLV 9/15/17 P79,,XLV 10/20/17 P79,,XLV 11/17/17 P81,,XLV 12/15/17 P82,,XLV 1/19/18 P81,,XLV 2/16/18 P83,,XLV 3/16/18 P83,,XLV 4/20/18 P88,,XLV 5/18/18 P82,,XLV 6/15/18 P79,,XLV 7/20/18 P82,,XLV 8/17/18 P83,,XLV 9/21/18 P83,,XLV 10/19/18 P88,,XLV 11/16/18 P92,,XLV 12/21/18 P95,,XLV 1/18/19 P89,,XLV 2/15/19 P95,,XLV 3/15/19 P85,,XLV 4/18/19 P90,,XLV 5/17/19 P92,,XLV 6/21/19 P91,,XLV 7/19/19 P89,,XLV 8/16/19 P87,,XLV 9/20/19 P93,,XLV 10/18/19 P91,,XLV 11/15/19 P90,,XLV 12/20/19 P89,,XLV 1/17/20 P94,,XLV 2/21/20 P99,,XLV 3/20/20 P102,,XLV 4/17/20 P100,,XLV 5/15/20 P96,,XLV 6/19/20 P85,,XLV 7/17/20 P97,,XLV 8/21/20 P101,,XLV 9/18/20 P100,,XLV 10/16/20 P106,
0,1/5/2015,1.99,2/23/2015,0.64,3/24/2015,0.89,4/1/2015,2.25,5/18/2015,0.84,6/23/2015,1.09,7/1/2015,2.2,8/24/2015,8.05,9/21/2015,1.28,10/2/2015,2.32,11/23/2015,2.25,12/21/2015,2.65,1/4/2016,2.54,2/22/2016,1.8,3/18/2016,1.82,4/1/2016,2.12,5/24/2016,1.48,6/20/2016,1.93,7/1/2016,1.96,8/15/2016,1.71,9/19/2016,1.74,10/3/2016,2.1,11/1/2016,2.45,12/19/2016,1.09,1/4/2017,1.33,2/21/2017,0.55,3/20/2017,1.42,4/3/2017,1.53,5/22/2017,1.39,6/19/2017,0.55,7/12/2017,1.36,8/21/2017,1.84,9/19/2017,0.98,10/2/2017,1.53,11/1/2017,1.79,12/19/2017,1.14,1/2/2018,1.39,2/9/2018,7.6,3/19/2018,1.49,4/2/2018,2.84,5/21/2018,1.26,6/1/2018,1.92,7/2/2018,1.96,8/1/2018,1.64,9/4/2018,1.81,10/1/2018,1.92,11/1/2018,2.63,12/27/2018,12.11,1/2/2019,3.25,2/1/2019,2.09,3/1/2019,1.83,4/1/2019,1.91,5/20/2019,2.56,6/24/2019,0.46,7/2/2019,2.08,8/21/2019,2.16,9/24/2019,1.8,10/1/2019,2.71,1/10/2020,0.01,1/3/2020,1.22,1/7/2020,2.81,2/3/2020,2.85,3/3/2020,4.3,#N/A N/A,,5/1/2020,5.05,6/19/2020,4.25,7/1/2020,3.8,8/3/2020,3.62
,1/6/2015,2.27,2/24/2015,0.64,3/25/2015,1.22,4/6/2015,1.72,5/19/2015,0.71,6/24/2015,1.37,7/6/2015,2.34,8/26/2015,7.42,9/22/2015,2.03,10/5/2015,1.78,11/24/2015,2.07,12/23/2015,1.78,1/5/2016,2.13,2/23/2016,1.82,3/21/2016,1.64,4/4/2016,1.31,5/25/2016,1.26,6/21/2016,2.13,7/5/2016,2.05,8/16/2016,2.05,9/20/2016,1.61,10/4/2016,2.03,11/2/2016,2.52,12/20/2016,1.13,1/5/2017,1.27,2/22/2017,0.6,3/21/2017,1.59,4/4/2017,1.61,5/23/2017,1.21,7/12/2017,0.26,7/13/2017,1.21,8/22/2017,1.38,9/20/2017,1.09,10/3/2017,1.49,11/2/2017,2.03,12/21/2017,1.18,1/3/2018,1.2,2/15/2018,4.76,3/20/2018,1.4,4/3/2018,2.25,5/22/2018,1.25,6/4/2018,1.64,7/3/2018,1.71,8/2/2018,1.52,9/5/2018,1.93,10/2/2018,1.92,11/2/2018,2.78,1/2/2019,9.9,1/3/2019,4.06,2/4/2019,2.43,3/4/2019,2.68,4/2/2019,1.92,5/21/2019,2.05,6/25/2019,0.53,7/3/2019,1.86,8/22/2019,2.26,9/25/2019,1.84,10/2/2019,3.45,,,1/6/2020,1.13,1/9/2020,2.04,2/4/2020,1.85,3/4/2020,2.73,,,5/4/2020,5.07,6/22/2020,4.45,7/2/2020,3.35,8/4/2020,3.95
,1/7/2015,1.93,2/25/2015,0.6,3/26/2015,1.52,4/7/2015,1.5,5/26/2015,0.89,6/25/2015,1.27,7/7/2015,2.72,9/10/2015,5.98,9/25/2015,2.94,10/6/2015,2.53,11/25/2015,1.79,12/24/2015,1.72,1/6/2016,2.19,2/25/2016,1.75,3/22/2016,1.28,4/5/2016,1.8,5/26/2016,1.15,6/22/2016,1.8,7/6/2016,1.75,8/17/2016,2.01,9/21/2016,1.28,10/5/2016,1.89,11/3/2016,2.79,12/21/2016,1.2,1/6/2017,1.07,2/23/2017,0.5,3/22/2017,1.84,4/5/2017,1.66,5/24/2017,1.1,7/14/2017,0.18,7/14/2017,0.96,8/23/2017,1.59,9/21/2017,1.13,10/5/2017,1.39,11/3/2017,1.65,12/22/2017,1.45,1/4/2018,1.01,2/16/2018,3.58,3/22/2018,2.49,4/4/2018,1.45,5/23/2018,1.18,6/5/2018,1.83,7/5/2018,1.75,8/3/2018,1.32,9/6/2018,2.13,10/3/2018,1.88,11/8/2018,1.05,1/14/2019,7.88,1/4/2019,2.86,2/5/2019,1.94,3/6/2019,3.16,4/3/2019,1.98,5/22/2019,1.76,6/26/2019,0.71,7/5/2019,1.85,8/27/2019,3.3,9/26/2019,2.28,10/3/2019,3.06,,,1/7/2020,1.12,1/10/2020,1.94,2/5/2020,1.48,3/6/2020,5.17,,,5/5/2020,3.52,6/23/2020,3.7,7/6/2020,3.2,8/6/2020,3.55
,1/8/2015,1.3,2/27/2015,0.56,3/27/2015,1.3,4/8/2015,1.49,5/27/2015,0.67,6/26/2015,1.32,7/9/2015,2.44,9/15/2015,4.9,9/28/2015,4.18,10/7/2015,2.32,11/27/2015,1.7,12/28/2015,1.83,1/7/2016,3.16,2/26/2016,1.42,3/23/2016,1.5,4/6/2016,1.27,5/27/2016,1.06,6/24/2016,2.29,7/7/2016,1.84,8/18/2016,1.99,9/26/2016,1.5,10/6/2016,2.1,11/4/2016,2.59,12/22/2016,1.18,1/9/2017,0.98,2/24/2017,0.42,3/23/2017,1.63,4/6/2017,1.57,5/25/2017,0.9,7/17/2017,0.16,7/17/2017,0.98,8/24/2017,1.48,9/22/2017,1.11,10/9/2017,1.47,11/6/2017,1.64,12/26/2017,1.32,1/5/2018,0.97,2/22/2018,4.7,3/23/2018,3.15,4/5/2018,1.37,5/24/2018,1.18,6/6/2018,1.3,7/6/2018,1.09,8/6/2018,1.22,9/7/2018,2,10/4/2018,2.6,11/9/2018,1.22,1/22/2019,6.1,1/7/2019,2.38,2/6/2019,2.11,3/12/2019,2.6,4/4/2019,2.1,5/23/2019,2.09,6/27/2019,0.62,7/10/2019,1.94,8/28/2019,3,9/27/2019,2.11,10/7/2019,2.24,,,1/8/2020,0.93,1/13/2020,1.96,2/6/2020,1.26,3/9/2020,7.52,,,5/7/2020,3.55,6/24/2020,5.69,7/7/2020,3.15,8/7/2020,3.85
,1/9/2015,1.36,3/2/2015,0.47,3/30/2015,1.03,4/9/2015,1.27,5/28/2015,0.67,6/29/2015,2.16,7/10/2015,1.99,9/16/2015,5.01,9/29/2015,4.38,10/8/2015,2.21,11/30/2015,1.91,12/29/2015,1.39,1/8/2016,3.13,2/29/2016,1.73,3/24/2016,1.54,4/7/2016,1.65,5/31/2016,0.96,6/28/2016,2.86,7/8/2016,1.37,8/19/2016,1.94,9/27/2016,1.5,10/7/2016,2.02,11/7/2016,1.86,12/23/2016,1,1/10/2017,0.83,2/27/2017,0.4,3/24/2017,1.69,4/7/2017,1.48,5/26/2017,0.97,7/18/2017,0.19,7/18/2017,1.19,8/25/2017,1.47,9/25/2017,1.2,10/11/2017,1.3,11/8/2017,1.46,12/27/2017,1.25,1/8/2018,0.93,2/23/2018,4.12,3/26/2018,2.31,4/6/2018,2.19,5/25/2018,1.22,6/7/2018,1.25,7/9/2018,0.91,8/7/2018,1.16,9/10/2018,1.8,10/5/2018,2.67,11/12/2018,1.47,1/24/2019,6.53,1/8/2019,2.16,2/7/2019,2.44,3/13/2019,2,4/5/2019,1.74,5/24/2019,1.87,6/28/2019,0.64,7/11/2019,2.13,8/30/2019,2.39,9/30/2019,1.64,10/8/2019,2.86,,,1/9/2020,0.75,1/14/2020,1.83,2/10/2020,1.46,3/12/2020,12.3,,,5/8/2020,3.3,7/1/2020,3.2,7/8/2020,3.45,8/12/2020,3.15
,1/12/2015,1.38,3/3/2015,0.65,3/31/2015,1.36,4/10/2015,0.99,5/29/2015,0.67,6/30/2015,2.07,7/13/2015,1.66,9/17/2015,3.4,9/30/2015,3.85,10/12/2015,1.53,12/1/2015,1.62,12/30/2015,1.5,1/11/2016,4.45,3/1/2016,1.13,3/28/2016,1.52,4/8/2016,1.56,6/1/2016,0.87,6/30/2016,1.32,7/11/2016,1.26,8/22/2016,1.82,9/28/2016,1.17,10/10/2016,1.7,11/8/2016,1.59,12/27/2016,0.89,1/11/2017,1.23,2/28/2017,0.45,3/27/2017,1.53,4/10/2017,1.57,5/30/2017,0.94,7/20/2017,0.17,7/19/2017,0.84,8/28/2017,1.24,9/26/2017,1.19,10/13/2017,1.44,11/9/2017,1.58,12/28/2017,1.15,1/9/2018,0.67,2/26/2018,3.06,3/27/2018,2.18,4/9/2018,1.93,5/29/2018,1.7,6/8/2018,1.13,7/10/2018,0.85,8/8/2018,1.07,9/11/2018,1.84,10/8/2018,2.61,11/13/2018,1.87,1/25/2019,6,1/9/2019,2.08,2/8/2019,2.53,3/14/2019,2.13,4/8/2019,1.72,5/28/2019,2.44,7/1/2019,0.32,7/12/2019,2.4,9/3/2019,2.66,10/1/2019,2.26,10/11/2019,1.83,,,1/10/2020,0.56,1/15/2020,1.47,2/11/2020,1.25,3/16/2020,12.98,,,5/11/2020,2.67,7/2/2020,2.67,7/9/2020,3.75,8/14/2020,3.2
,1/13/2015,1.46,3/4/2015,0.54,4/1/2015,1.93,4/13/2015,1.06,6/1/2015,0.63,7/1/2015,1.79,7/14/2015,1.2,9/18/2015,4.9,10/1/2015,3.2,10/13/2015,1.5,12/2/2015,1.91,12/31/2015,1.67,1/13/2016,4.67,3/2/2016,1.02,3/29/2016,1.2,4/11/2016,1.75,6/2/2016,0.65,7/5/2016,1.09,7/12/2016,1.2,8/23/2016,1.72,9/29/2016,1.31,10/11/2016,2.3,11/9/2016,1.01,12/28/2016,1.09,1/12/2017,1.26,3/1/2017,0.27,3/28/2017,1.51,4/11/2017,1.7,5/31/2017,0.85,7/21/2017,0.09,7/20/2017,0.64,8/29/2017,1.25,9/27/2017,1.23,10/16/2017,1.62,11/10/2017,1.76,12/29/2017,1.46,1/10/2018,0.76,2/27/2018,3.23,3/28/2018,2.65,4/10/2018,1.68,5/30/2018,1.2,6/11/2018,1,7/13/2018,0.67,8/9/2018,1.15,9/12/2018,1.67,10/9/2018,2.4,11/14/2018,2.17,2/6/2019,4.4,1/10/2019,1.97,2/11/2019,2.36,3/15/2019,1.86,4/9/2019,1.73,5/29/2019,3.35,7/2/2019,0.29,7/15/2019,2.27,9/4/2019,2.34,10/2/2019,3.35,10/15/2019,1.33,,,1/13/2020,0.67,1/16/2020,1.21,2/12/2020,1.14,3/18/2020,16.7,,,5/12/2020,3.1,7/6/2020,2.22,7/14/2020,3,8/17/2020,3.15
,1/15/2015,1.67,3/5/2015,0.45,4/2/2015,1.56,4/14/2015,1.04,6/2/2015,0.75,7/6/2015,1.91,7/15/2015,1.24,,,10/2/2015,2.39,10/14/2015,1.85,12/3/2015,2.4,1/4/2016,2.48,1/15/2016,4.4,3/3/2016,1.04,3/30/2016,1.1,4/12/2016,1.48,6/3/2016,0.6,7/6/2016,0.86,7/13/2016,1.1,8/24/2016,1.82,9/30/2016,1.44,10/12/2016,2.95,11/10/2016,0.9,12/29/2016,1.05,1/13/2017,1.01,3/2/2017,0.34,3/29/2017,1.39,4/12/2017,1.64,6/1/2017,0.58,7/24/2017,0.12,7/21/2017,0.7,8/30/2017,0.99,9/28/2017,1.14,10/17/2017,1.1,11/13/2017,1.61,1/2/2018,0.9,1/12/2018,0.52,3/1/2018,4.69,3/29/2018,2.3,4/11/2018,1.62,5/31/2018,1.47,6/12/2018,1.08,7/16/2018,0.76,8/10/2018,1.31,9/13/2018,1.24,10/10/2018,2.93,11/15/2018,1.93,2/7/2019,5.15,1/11/2019,1.72,2/12/2019,1.75,3/18/2019,1.87,4/10/2019,1.75,5/30/2019,2.88,7/3/2019,0.24,7/16/2019,2.44,9/5/2019,1.7,10/3/2019,2.81,10/16/2019,1.31,,,1/14/2020,0.53,1/21/2020,1.21,2/14/2020,1.26,3/19/2020,15.57,,,5/13/2020,3.9,7/7/2020,2.83,7/15/2020,2.6,8/18/2020,2.84
,1/16/2015,1.45,3/6/2015,0.75,4/6/2015,1.45,4/15/2015,0.9,6/3/2015,0.68,7/7/2015,1.65,7/17/2015,1.11,,,10/5/2015,2.05,10/15/2015,1.39,12/11/2015,2.8,1/7/2016,3.5,1/19/2016,4.54,3/4/2016,1.1,3/31/2016,1.15,4/13/2016,1.26,6/6/2016,0.54,7/7/2016,0.89,7/14/2016,1.07,8/26/2016,2.97,10/3/2016,1.44,10/13/2016,3.05,11/11/2016,1.34,12/30/2016,1.19,1/17/2017,1.12,3/3/2017,0.27,3/30/2017,1.35,4/13/2017,1.59,6/2/2017,0.47,7/25/2017,0.1,7/24/2017,0.7,8/31/2017,0.63,9/29/2017,0.96,10/18/2017,1.04,11/14/2017,1.84,1/3/2018,0.69,1/16/2018,0.5,3/5/2018,4.45,4/2/2018,3.55,4/12/2018,1.31,6/1/2018,1.08,6/13/2018,1.02,7/18/2018,0.62,8/13/2018,1.31,9/14/2018,1.17,10/11/2018,5.5,11/16/2018,1.47,2/14/2019,4,1/14/2019,1.74,2/13/2019,1.58,3/19/2019,1.58,4/11/2019,2.25,5/31/2019,3.18,7/9/2019,0.31,7/17/2019,2.32,9/6/2019,1.53,10/4/2019,1.8,10/17/2019,1.13,,,1/15/2020,0.37,1/22/2020,1.18,2/18/2020,1.16,3/23/2020,21.55,,,5/14/2020,4.34,7/8/2020,3.03,7/16/2020,2.71,8/20/2020,3
,1/20/2015,1.28,3/9/2015,0.74,4/7/2015,1.26,4/16/2015,0.92,6/4/2015,0.85,7/8/2015,2.21,7/20/2015,0.95,,,10/6/2015,2.93,10/19/2015,0.99,12/14/2015,2.62,1/11/2016,4.34,1/20/2016,3.88,3/7/2016,0.88,4/1/2016,0.81,4/14/2016,1.11,6/7/2016,0.66,7/8/2016,0.6,7/15/2016,1.01,8/29/2016,2.75,10/4/2016,1.54,10/14/2016,3.07,11/14/2016,1.18,1/3/2017,0.84,1/18/2017,1.09,3/6/2017,0.27,3/31/2017,1.43,4/18/2017,1.87,6/5/2017,0.52,7/26/2017,0.1,7/25/2017,0.8,9/1/2017,0.61,10/2/2017,0.64,10/19/2017,0.96,11/15/2017,1.8,1/4/2018,0.65,1/17/2018,0.43,3/9/2018,3.04,4/3/2018,3.1,4/13/2018,1.36,6/4/2018,0.96,6/14/2018,0.88,7/19/2018,0.7,8/14/2018,1.17,9/17/2018,1.21,10/12/2018,4.74,11/19/2018,1.99,2/15/2019,2.25,1/15/2019,1.22,2/14/2019,1.52,3/20/2019,1.63,4/12/2019,2.64,6/3/2019,2.68,7/10/2019,0.27,7/18/2019,2.13,9/9/2019,1.82,10/7/2019,1.83,10/18/2019,1.31,,,1/16/2020,0.29,1/23/2020,1.36,2/19/2020,1.06,3/24/2020,18,,,5/15/2020,3.32,7/9/2020,3.17,7/17/2020,2.04,8/21/2020,3.2
