,XLY 3/20/15 P71,,XLY 4/17/15 P70,,XLY 5/15/15 P76,,XLY 6/19/15 P75,,XLY 7/17/15 P76,,XLY 8/21/15 P76,,XLY 9/18/15 P77,,XLY 10/16/15 P79,,XLY 11/20/15 P73,,XLY 12/18/15 P74,,XLY 1/15/16 P81,,XLY 2/19/16 P81,,XLY 3/18/16 P76,,XLY 4/15/16 P74,,XLY 5/20/16 P76,,XLY 6/17/16 P79,,XLY 7/15/16 P80,,XLY 8/19/16 P79,,XLY 9/16/16 P78,,XLY 10/21/16 P81,,XLY 11/18/16 P80,,XLY 12/16/16 P79,,XLY 1/20/17 P77,,XLY 2/17/17 P81,,XLY 3/17/17 P81,,XLY 4/21/17 P84,,XLY 5/19/17 P87,,XLY 6/16/17 P87,,XLY 7/21/17 P90,,XLY 8/18/17 P91,,XLY 9/15/17 P89,,XLY 10/20/17 P91,,XLY 11/17/17 P90,,XLY 12/15/17 P90,,XLY 1/19/18 P92,,XLY 2/16/18 P96,,XLY 3/16/18 P100,,XLY 4/20/18 P106,,XLY 5/18/18 P102,,XLY 6/15/18 P98,,XLY 7/20/18 P103,,XLY 8/17/18 P106,,XLY 9/21/18 P109,,XLY 10/19/18 P110,,XLY 11/16/18 P117,,XLY 12/21/18 P116,,XLY 1/18/19 P107,,XLY 2/15/19 P110,,XLY 3/15/19 P99,,XLY 4/18/19 P107,,XLY 5/17/19 P111,,XLY 6/21/19 P115,,XLY 7/19/19 P118,,XLY 8/16/19 P110,,XLY 9/20/19 P120,,XLY 10/18/19 P119,,XLY 11/15/19 P119,,XLY 12/20/19 P119,,XLY 1/17/20 P121,,XLY 2/21/20 P121,,XLY 3/20/20 P126,,XLY 4/17/20 P126,,XLY 5/15/20 P119,,XLY 6/19/20 P93,,XLY 7/17/20 P112,,XLY 8/21/20 P125,,XLY 9/18/20 P129,,XLY 10/16/20 P136,
0,1/2/2015,2.09,2/24/2015,0.37,3/25/2015,1.6,4/1/2015,2.46,5/18/2015,1.39,6/23/2015,0.79,7/1/2015,2.15,8/27/2015,4.4,9/21/2015,1.37,10/5/2015,1.89,11/2/2015,2.28,12/29/2015,2.75,1/4/2016,2.5,2/23/2016,2.52,3/22/2016,1.3,4/1/2016,2.14,5/27/2016,1.96,6/21/2016,2.23,7/1/2016,2.13,8/2/2016,2.59,9/23/2016,1.75,10/4/2016,1.94,11/1/2016,2.6,12/20/2016,0.96,1/4/2017,1.43,2/21/2017,0.68,3/21/2017,1.64,4/5/2017,1.72,5/23/2017,1.83,7/14/2017,1.76,7/13/2017,1.47,9/6/2017,1.91,9/18/2017,1.84,10/3/2017,1.62,11/1/2017,1.8,12/20/2017,0.72,1/2/2018,2,2/21/2018,2.72,3/19/2018,2.05,4/2/2018,3.65,5/21/2018,1.45,6/7/2018,1.26,7/2/2018,3.37,8/20/2018,1.33,9/4/2018,2.64,10/2/2018,2.52,11/1/2018,3.48,12/27/2018,14.51,1/2/2019,3.9,2/19/2019,1.49,3/20/2019,1.96,4/1/2019,3.26,5/29/2019,6.83,6/24/2019,0.58,7/1/2019,3,8/21/2019,2.88,9/23/2019,2,10/1/2019,2.84,11/6/2019,2.57,12/23/2019,1.27,1/2/2020,3.22,2/25/2020,5.97,4/30/2020,4.7,#N/A Invalid Security,,5/14/2020,6.07,6/18/2020,5.27,7/1/2020,6.49,8/21/2020,2.32
,1/5/2015,2.59,2/26/2015,0.26,3/26/2015,2.6,4/6/2015,1.8,5/19/2015,1.44,6/24/2015,0.95,7/2/2015,2.15,8/28/2015,4.5,9/28/2015,2.68,10/7/2015,1.93,11/4/2015,2.04,,,1/5/2016,2.35,2/26/2016,1.8,3/30/2016,0.78,4/13/2016,2.09,5/31/2016,2,6/28/2016,3.85,7/5/2016,2.44,8/3/2016,2.5,9/26/2016,2.23,10/7/2016,1.74,11/2/2016,2.49,12/21/2016,0.93,1/5/2017,1.48,2/22/2017,0.67,3/22/2017,2.09,4/6/2017,1.67,5/24/2017,1.77,7/17/2017,1.29,7/14/2017,1.19,9/8/2017,2.51,9/19/2017,1.92,10/4/2017,1.35,11/2/2017,2.42,12/22/2017,0.74,1/3/2018,1.72,2/27/2018,2.99,3/23/2018,3.95,4/3/2018,3.2,5/22/2018,1.41,6/8/2018,1.35,7/3/2018,2.78,8/21/2018,1.06,9/5/2018,2.85,10/3/2018,3.2,11/2/2018,3.45,1/15/2019,5.85,1/8/2019,2.14,2/20/2019,1.43,3/21/2019,1.54,4/3/2019,2.55,5/31/2019,7.55,6/25/2019,0.63,7/3/2019,2.44,8/22/2019,2.86,9/24/2019,2.67,10/4/2019,3.8,11/7/2019,2.72,12/26/2019,0.91,1/6/2020,3.25,2/26/2020,6.51,5/11/2020,2.95,,,5/15/2020,5.15,6/19/2020,5.05,7/2/2020,5.65,8/24/2020,1.76
,1/6/2015,3.15,3/6/2015,0.32,3/30/2015,1.68,4/8/2015,1.73,5/20/2015,1.41,6/25/2015,0.98,7/6/2015,2.25,8/31/2015,4.76,9/29/2015,2.71,10/8/2015,1.43,11/5/2015,2.19,,,1/6/2016,2.78,3/1/2016,1.26,3/31/2016,0.75,4/15/2016,1.78,6/1/2016,2.12,6/29/2016,2.91,7/7/2016,1.82,8/4/2016,2.4,9/27/2016,1.85,10/10/2016,1.61,11/3/2016,2.75,12/22/2016,1.22,1/6/2017,1.28,2/24/2017,0.73,3/23/2017,1.87,4/10/2017,1.64,5/26/2017,1.13,7/18/2017,1.09,7/19/2017,0.89,9/11/2017,2.18,9/21/2017,1.66,10/5/2017,1.16,11/3/2017,2.05,12/26/2017,0.65,1/4/2018,1.75,3/12/2018,1.8,3/27/2018,3.4,4/4/2018,3.26,5/23/2018,1.27,6/14/2018,0.8,7/9/2018,1.95,8/22/2018,1.11,9/7/2018,3.2,10/4/2018,4.38,11/5/2018,3.78,1/16/2019,5.35,1/14/2019,1.72,2/21/2019,1.51,3/22/2019,2.37,4/4/2019,2.45,6/3/2019,8.85,6/26/2019,0.69,7/8/2019,2.33,8/23/2019,5.04,9/25/2019,2.38,10/15/2019,2.06,11/8/2019,2.85,12/27/2019,0.96,1/7/2020,3.2,2/27/2020,10.38,5/12/2020,4.49,,,5/19/2020,2.78,6/24/2020,5.64,7/6/2020,5.1,8/25/2020,1.6
,1/8/2015,1.93,3/10/2015,0.4,4/1/2015,2.2,4/9/2015,1.7,5/21/2015,1.22,6/29/2015,1.2,7/7/2015,1.9,9/1/2015,6.5,9/30/2015,2.05,10/12/2015,1.06,11/6/2015,2.19,,,1/7/2016,3.75,3/3/2016,1.05,4/5/2016,1.06,4/18/2016,1.47,6/2/2016,1.79,7/1/2016,1.8,7/14/2016,0.95,8/5/2016,1.91,9/28/2016,1.81,10/11/2016,2.17,11/4/2016,2.52,12/23/2016,1.25,1/9/2017,1.27,2/27/2017,0.67,3/24/2017,1.59,4/11/2017,1.91,5/30/2017,1.06,7/19/2017,0.88,7/21/2017,0.94,9/13/2017,1.44,9/22/2017,1.57,10/10/2017,1.25,11/6/2017,1.82,12/27/2017,0.65,1/9/2018,1.25,3/13/2018,2.06,3/29/2018,3,4/10/2018,2.01,5/24/2018,1.13,6/15/2018,0.79,7/10/2018,1.75,8/24/2018,0.89,9/10/2018,3.25,10/5/2018,5.57,11/7/2018,1.94,1/18/2019,4.28,1/15/2019,1.4,2/22/2019,1.2,3/25/2019,2.35,4/8/2019,1.87,6/6/2019,5.24,6/27/2019,0.62,7/9/2019,2.2,8/26/2019,4.64,9/26/2019,2.3,10/18/2019,1.79,11/11/2019,2.81,12/30/2019,1.19,1/9/2020,2.55,2/28/2020,13.09,,,,,5/22/2020,2.46,6/25/2020,5.95,7/7/2020,5.2,8/26/2020,1.3
,1/9/2015,2.2,3/17/2015,0.25,4/2/2015,1.92,4/13/2015,1.56,5/22/2015,1.23,6/30/2015,1.6,7/8/2015,2.48,9/9/2015,4.7,10/6/2015,0.99,10/13/2015,1.15,11/9/2015,2.63,,,1/8/2016,4.2,3/4/2016,0.95,4/11/2016,0.93,4/19/2016,1.59,6/7/2016,1.59,7/5/2016,2.35,7/15/2016,0.97,8/8/2016,1.97,9/29/2016,1.53,10/13/2016,2.11,11/7/2016,2.04,12/27/2016,1.07,1/10/2017,1.09,3/1/2017,0.55,3/27/2017,1.73,4/12/2017,1.8,5/31/2017,1.05,7/20/2017,0.9,7/24/2017,0.83,9/15/2017,1.65,9/25/2017,1.73,10/11/2017,1.16,11/8/2017,2.15,12/29/2017,0.68,1/10/2018,1.28,3/16/2018,1.94,4/2/2018,4.85,4/17/2018,0.95,5/25/2018,1.08,6/25/2018,1.73,7/11/2018,1.83,8/27/2018,0.71,9/11/2018,2.87,10/9/2018,4.69,11/8/2018,1.69,1/22/2019,5.45,1/16/2019,1.36,2/25/2019,1.16,3/26/2019,1.93,4/9/2019,2.24,6/7/2019,3.57,7/1/2019,0.35,7/10/2019,2.07,8/28/2019,3.55,9/27/2019,2.41,10/21/2019,1.61,11/12/2019,2.75,12/31/2019,1.12,1/10/2020,2.65,3/2/2020,9.77,,,,,5/26/2020,1.8,6/26/2020,6.65,7/8/2020,5.81,8/27/2020,1.45
,1/12/2015,2.55,3/18/2015,0.24,4/6/2015,1.37,4/14/2015,1.53,5/26/2015,1.57,7/1/2015,1.33,7/10/2015,1.91,9/15/2015,3.7,10/7/2015,0.84,10/14/2015,1.45,11/12/2015,2.62,,,1/11/2016,4.1,3/7/2016,1.06,4/13/2016,0.53,4/20/2016,1.49,6/8/2016,1.61,7/8/2016,0.97,7/18/2016,0.84,8/10/2016,1.85,9/30/2016,1.46,10/14/2016,2.08,11/8/2016,1.64,12/29/2016,1.2,1/11/2017,1.24,3/2/2017,0.56,3/28/2017,1.2,4/13/2017,1.91,6/1/2017,0.76,7/21/2017,0.89,7/25/2017,0.76,9/26/2017,1.77,9/26/2017,1.65,10/12/2017,1.34,11/9/2017,2.09,1/2/2018,0.48,1/11/2018,0.9,3/19/2018,3.07,4/3/2018,4.7,4/19/2018,0.96,5/29/2018,1.59,6/26/2018,1.29,7/13/2018,1.41,8/28/2018,0.67,9/12/2018,2.85,10/11/2018,9.7,11/12/2018,2.9,1/25/2019,3.65,1/17/2019,1.45,2/26/2019,1.32,4/1/2019,1.14,4/11/2019,2.07,6/10/2019,2.76,7/3/2019,0.26,7/11/2019,1.9,8/29/2019,2.63,10/1/2019,1.93,10/22/2019,1.68,11/13/2019,3,1/2/2020,0.75,1/13/2020,2.43,3/3/2020,9.96,,,,,5/27/2020,1.92,6/29/2020,5.35,7/9/2020,5.32,8/28/2020,1.68
,1/13/2015,2.16,3/23/2015,0.04,4/7/2015,1.47,4/15/2015,1.45,5/28/2015,1.3,7/2/2015,1.26,7/13/2015,1.35,9/16/2015,3.5,10/13/2015,0.39,10/15/2015,1.38,11/16/2015,3.64,,,1/12/2016,3.11,3/9/2016,1.3,4/15/2016,0.47,4/21/2016,1.54,6/9/2016,1.7,7/11/2016,0.68,7/19/2016,0.9,8/11/2016,1.56,10/4/2016,1.74,10/17/2016,2.33,11/9/2016,1.53,12/30/2016,1.52,1/17/2017,0.89,3/3/2017,0.56,3/29/2017,1.1,4/18/2017,1.74,6/2/2017,0.65,7/24/2017,0.91,7/26/2017,0.73,9/27/2017,1.78,9/27/2017,1.67,10/13/2017,1.12,11/10/2017,1.85,1/3/2018,0.39,1/12/2018,0.66,3/21/2018,2.33,4/4/2018,2.92,4/23/2018,1.15,5/30/2018,1.07,6/27/2018,1.27,7/16/2018,1.34,8/29/2018,0.53,9/14/2018,2.74,10/24/2018,12,11/16/2018,3.75,1/28/2019,4.75,1/18/2019,0.96,2/27/2019,1.2,4/2/2019,1.06,4/12/2019,1.64,6/11/2019,3.01,7/5/2019,0.24,7/12/2019,1.56,8/30/2019,2.91,10/2/2019,3.91,10/23/2019,1.89,11/14/2019,2.66,1/3/2020,0.96,1/21/2020,1.8,3/4/2020,7.27,,,,,5/28/2020,1.41,6/30/2020,4.26,7/10/2020,4.9,9/1/2020,1.54
,1/14/2015,3.15,3/26/2015,0.16,4/8/2015,1.3,4/16/2015,1.44,5/29/2015,1.39,7/7/2015,1.28,7/15/2015,1.22,9/18/2015,3.43,10/14/2015,0.65,10/19/2015,0.78,11/17/2015,3.5,,,1/13/2016,3.2,3/11/2016,0.77,4/18/2016,0.27,4/22/2016,1.93,6/10/2016,2.4,7/12/2016,0.63,7/27/2016,0.74,8/12/2016,1.64,10/5/2016,1.47,10/18/2016,2.06,11/10/2016,1.47,1/4/2017,0.88,1/18/2017,0.88,3/6/2017,0.62,3/30/2017,0.96,4/19/2017,1.37,6/5/2017,0.67,7/25/2017,0.62,7/27/2017,0.69,10/4/2017,0.62,9/28/2017,1.43,10/16/2017,1.24,11/13/2017,1.88,1/4/2018,0.36,1/16/2018,0.9,3/26/2018,3.7,4/5/2018,2.37,4/24/2018,1.52,5/31/2018,1.24,7/2/2018,1.31,7/17/2018,1.22,8/30/2018,0.69,9/18/2018,2.65,11/9/2018,6.4,11/19/2018,4.97,1/29/2019,5,1/22/2019,1.51,2/28/2019,1.34,4/3/2019,0.87,4/15/2019,1.5,6/12/2019,2.83,7/8/2019,0.21,7/16/2019,1.35,9/3/2019,3.2,10/3/2019,4.25,10/24/2019,1.78,11/15/2019,2.54,1/6/2020,0.89,1/22/2020,1.66,3/5/2020,9.96,,,,,5/29/2020,1.86,7/1/2020,3.75,7/13/2020,4.03,9/2/2020,1.34
,1/15/2015,3.35,4/1/2015,0.14,4/9/2015,1.16,4/17/2015,1.97,6/1/2015,1.26,7/8/2015,1.7,7/16/2015,1.08,9/22/2015,4.03,10/15/2015,0.52,10/20/2015,0.76,11/19/2015,2.59,,,1/19/2016,4.85,3/14/2016,0.57,4/19/2016,0.31,4/25/2016,1.82,6/13/2016,2.43,7/18/2016,0.53,7/28/2016,0.79,8/17/2016,1.82,10/6/2016,1.48,10/19/2016,1.87,11/11/2016,1.42,1/6/2017,0.71,1/19/2017,0.97,3/7/2017,0.55,3/31/2017,0.89,4/20/2017,1.22,6/6/2017,0.91,7/26/2017,0.67,7/28/2017,0.74,10/5/2017,0.47,9/29/2017,1.22,10/20/2017,1.04,11/14/2017,1.75,1/5/2018,0.3,1/19/2018,0.64,4/2/2018,6.08,4/6/2018,3.24,4/25/2018,1.99,6/1/2018,0.87,7/3/2018,1.15,7/19/2018,1.31,8/31/2018,0.57,9/19/2018,2.4,11/15/2018,10.78,11/27/2018,4.8,1/30/2019,3.55,1/24/2019,1.18,3/1/2019,1.07,4/4/2019,0.81,4/16/2019,1.33,6/13/2019,2.42,7/9/2019,0.21,7/18/2019,2.02,9/4/2019,2.4,10/4/2019,2.66,10/25/2019,1.71,11/18/2019,2.24,1/7/2020,0.91,1/23/2020,2.32,3/6/2020,13.5,,,,,6/1/2020,1.26,7/2/2020,3.2,7/14/2020,5.85,9/3/2020,2.4
,1/16/2015,3.3,,,4/10/2015,1.01,4/20/2015,1.48,6/2/2015,1.19,7/9/2015,1.47,7/17/2015,1.03,9/24/2015,5.15,10/21/2015,0.25,10/21/2015,0.75,11/23/2015,1.86,,,1/20/2016,6.7,3/16/2016,0.48,4/25/2016,0.61,4/26/2016,1.62,6/14/2016,3.15,7/19/2016,0.57,8/1/2016,0.6,8/18/2016,1.7,10/7/2016,1.63,10/20/2016,1.98,11/14/2016,1.29,1/9/2017,0.7,1/20/2017,0.81,3/8/2017,0.51,4/3/2017,1.18,4/24/2017,0.94,6/7/2017,0.85,7/27/2017,0.43,7/31/2017,0.73,10/6/2017,0.34,10/2/2017,1.14,10/23/2017,1.28,11/15/2017,2.08,1/10/2018,0.25,1/22/2018,0.48,4/19/2018,2.12,4/9/2018,3.05,4/26/2018,0.93,6/4/2018,0.62,7/5/2018,1.18,7/23/2018,1.42,9/5/2018,0.65,9/20/2018,2.16,12/6/2018,11.99,11/28/2018,2.79,1/31/2019,2.24,1/25/2019,0.82,3/4/2019,1.14,4/5/2019,0.56,4/17/2019,1.25,6/14/2019,2.01,7/10/2019,0.17,7/19/2019,1.99,9/5/2019,1.39,10/7/2019,2.44,10/29/2019,1.5,11/19/2019,2.8,1/8/2020,0.78,1/24/2020,2.84,3/9/2020,18.57,,,,,6/2/2020,1.23,7/6/2020,2.6,7/15/2020,4.2,9/4/2020,2.51
