Date,SPY 5/15/20 C282,SPY 5/15/20 P282,XLK 5/15/20 C88,XLK 5/15/20 P88,XLF 5/15/20 C22,XLF 5/15/20 P22,XLY 5/15/20 C111,XLY 5/15/20 P111,XLV 5/15/20 C100,XLV 5/15/20 P100,XLI 5/15/20 C61,XLI 5/15/20 P61
2020-04-20,10.76,11.7,4.05,4.2,1.25,1.25,5.0,4.73,3.2,3.19,3.5300000000000002,2.61
2020-04-21,6.97,15.62,2.17,6.0,0.91,1.5899999999999999,3.8,6.65,2.08,4.5600000000000005,2.77,3.33
2020-04-22,8.63,11.67,3.4,3.9,0.94,1.32,4.5,4.95,2.29,3.94,2.55,3.05
2020-04-23,7.97,11.58,3.05,3.7199999999999998,0.7,1.2,4.3,4.57,2.45,3.36,3.11,2.52
2020-04-24,9.02,7.93,3.5,3.17,0.69,0.865,5.275227334811284,3.41,2.9,2.6,2.61,2.1
2020-04-27,10.47,5.6,3.52,3.04,1.09,0.53,5.95,2.12,3.33,1.62,3.4,1.11
2020-04-28,10.06,5.55,3.54,2.91,1.29,0.5,6.42,2.0,1.95,2.25,4.568198015936474,0.85
2020-04-29,15.33,3.1,5.5,1.29,1.7,0.27,7.17,0.95,2.34,1.58,5.3,0.59
2020-04-30,12.0,4.72,4.75,1.49,1.28,0.43,7.05,1.56,1.81,2.17,3.95,0.7
2020-05-01,7.8,7.2,3.2,2.25,0.88,0.8,3.6,2.66,0.95,3.45,2.966917817745397,1.43
2020-05-04,6.84,6.0,3.6,1.65,0.61,0.79,4.325096432257212,2.4699999999999998,0.86,3.2,1.72,1.6600000000000001
2020-05-05,8.29,4.27,4.43,0.87,0.53,0.67,4.427287151380639,1.3599999999999999,1.5899999999999999,1.8199999999999998,2.4,1.16
2020-05-06,6.61,4.89,5.05,0.7,0.19,1.0,4.11,1.15,1.1,2.13,1.48,1.33
2020-05-07,8.76,2.7,5.8,0.44,0.42,0.61,5.308533422461537,0.73,0.85,1.45,1.7,0.99
2020-05-08,11.95,0.93,6.84,0.15,0.65,0.32,6.915419837551994,0.25,0.87,1.51,2.856573996897005,0.34
2020-05-11,11.62,0.6,7.2,0.1,0.27,0.45,6.43,0.12,1.72,0.5,1.77,0.44
2020-05-12,5.9399999999999995,2.07,5.85,0.05,0.09,0.89,4.88,0.14,0.59,1.2,0.75,0.95
2020-05-13,2.84,3.15,3.7,0.22,0.055,1.3599999999999999,1.98,0.68,0.27,2.05,0.12,2.22
2020-05-14,3.83,0.85,4.34,0.04,0.02,0.77,2.32,0.22,0.38,1.0,0.06,1.8599999999999999
2020-05-15,4.279998779296875,0.0,5.470001220703125,0.0,0.0,0.9500007629394531,4.480003356933594,0.0,0.4199981689453125,0.0,0.0,1.5400009155273438
